qdags_1,post mj_1,post mj_2,post mj,result
602547,116196.0,255113.0,241238.0,1584
1252205,1983490.0,211148.0,1011660.0,3356
98342,43533.0,17446.0,55917.0,1545
2495501,998067.0,342088.0,2236630.0,278221
2253716,79819.0,90785.0,2141900.0,1409
1066511,884195.0,37778.0,165923.0,1545
525151,29451.0,419703.0,96470.0,1764
230918,146383.0,68018.0,188632.0,52557
955922,607367.0,319798.0,41563.0,2093
1139190,295924.0,60374.0,1012340.0,1523
54689,9095.0,8147.0,42458.0,1545
5814058,77062.0,165861.0,5173780000000.0,27420
678642,1633440.0,170966.0,641335.0,3920
200859,89354.0,188217.0,121112.0,1781
1226711,38403.0,39612.0,1166150.0,1475
2769595,53522300.0,33540.0,24054.0,1566
787580,186838.0,563742.0,50376.0,1727
1283256,402840.0,1127900.0,242700.0,1545
3269185,1741460.0,71847.0,1497060.0,21765
99092,59073.0,34615.0,11475.0,1546
88485,12666.0,10608.0,71927.0,1545
664345,72185.0,83272.0,586037.0,1839
1850217,51300.0,228839.0,1603340.0,1545
706049,85183.0,583684.0,55546.0,1545
139042,163764.0,215435.0,206458.0,1545
3507497,2006500.0,289324.0,1533700.0,41289
737330,244402.0,333423.0,188914.0,1429
87607,30659.0,20305.0,56467.0,2321
783997,189446.0,322121.0,583303.0,3417
2300308,2044260.0,129685.0,306686.0,3202
54104,10414.0,21232.0,30201.0,1567
1233227,1964240.0,293786.0,1012580.0,120934
2316988,322874.0,570145.0,1524490.0,1499
1515783,27231.0,13207.0,1486850.0,2308
1500861,76825.0,966530.0,1418420.0,6016
2768527,2715510.0,42010.0,30246.0,1697
210750,93284.0,272410.0,110634.0,1545
448560,57977.0,167066.0,232044.0,1545
1489570,51401.0,1309010.0,153306.0,1545
1901002,48213.0,1847600.0,13178.0,1886
1536333,43697.0,292702.0,1456100.0,1572
48381,29025.0,29039.0,14023.0,1545
1128879,744153.0,97116.0,305325.0,3178
710868,658335.0,55793.0,79512.0,14458
4530680,4123680.0,292206.0,421329.0,412856
9224865,7189650.0,742514.0,2141870.0,1522
386126,1030050.0,25308.0,333631.0,1591
871443,476503.0,64514.0,389086.0,4733
805710,77474.0,23927.0,710546.0,4042
367212,2882600.0,8903.0,45512.0,1605
