query,input,intermediate 1,intermediate 2,intermediate 3,results
0,4106262,3475004,460292,465188,3466
1,1254126,673292,583676,334436,2938
2,4250622,1675076,296684,2577884,3826
3,476094,295,1589,3002,2938
4,4614318,1173404,2237948,30392,93466
5,47225,3782012,541292,1333244,6754
6,413238,238196,41468,1995,2938
7,5537526,3973892,446036,1516364,2938
8,1280718,27116,137732,1128812,2938
9,881334,138596,722852,255356,15154
,1442382,1226804,1754,85748,2938
11,298734,122204,1208,70052,2938
12,1647678,83348,25364,15707,3442
13,4282302,37359,356996,892244,2938
14,6370854,121028,63332,6433196,2938
15,1730646,1332956,904316,375428,2938
16,1603374,12282,633,355532,2938
17,2061198,615,13227,699212,2938
18,444438,216284,37412,201236,2938
19,1535142,195212,1256036,627284,5986
,2617878,192476,1725812,731444,2938
21,2625342,1147748,6973,1387364,2938
22,1679118,63124,491,1665388,2834
23,1788126,12282,391604,179852,2938
24,29845,623108,66836,2339036,2938
25,575046,31004,567644,437,5890
26,82734,252,385,327,2938
27,10821,1423,515444,436148,2938
28,595806,435668,122852,53132,2938
29,8113062,6493724,528212,1632932,14554
,65349,6486188,368,501,2938
31,850686,78884,763772,320,2938
32,1815246,127604,23828,1679468,2938
33,197574,57308,94268,130412,25186
34,107022,47588,33116,41348,2938
35,19849,90188,786332,1133564,2938
36,3764406,3630188,139076,89684,2938
37,931734,782324,105476,64196,2938
38,871038,7461,85172,54452,2938
39,114972,762836,10583156,1439756,4282
,8292,4375,3750,102956,2938
41,11473134,784124,10594964,173228,2938
42,5006862,4962716,37028,204,2938
43,7016,250244,134876,408692,2938
44,1274382,56132,410444,8382,3466
45,5584782,5164076,215228,372404,5338
46,1993206,850628,108596,1122308,2938
47,5414,73844,333284,1793,2938
48,50841,4962716,1001,30548,2938
49,66633,6486188,190844,50444,2938
