qdags_1,post mj_1,post mj_2,post mj,result
1402325,19539.0,62212.0,12044.0,1613.0
3102693,14195.0,113874.0,106986.0,1579.0
4695360,78918.0,3337860.0,70476.0,1980.0
688756,24628.0,7339.0,109410.0,13823.0
3337750,16299.0,21309.0,69755.0,29179.0
3315930,32884.0,14201.0,6903.0,1763.0
83706,22192.0,66666.0,24982.0,1775.0
2045387,62533.0,9221.0,3338.0,1563.0
2230917,123275.0,60315.0,39774.0,1766.0
983188,171867.0,131465.0,274543.0,31987.0
4658059,13811.0,138148.0,185617.0,1888.0
1338940,13057.0,42452.0,47645.0,1722.0
694908,37638.0,53581.0,43058.0,6127.0
519001,9263.0,297381.0,19753.0,1994.0
2636682,201286.0,402532.0,180572.0,1699.0
6941869,6298340.0,28336.0,92484.0,1726.0
3035430,1390220.0,40275.0,27074.0,2081.0
6962935,999044.0,2426610.0,832831.0,1864.0
4671804,286515.0,151250.0,181557.0,2615.0
3564071,28378.0,2476.0,2613.0,1568.0
3390370,376574.0,95116.0,144421.0,1727.0
1460352,384138.0,44256.0,162101.0,2042.0
2178136,6158.0,5129.0,51284.0,1765.0
1098134,586807.0,247340.0,218770.0,159800.0
1260792,11320.0,344464.0,11324.0,1794.0
2340057,3351.0,3398.0,200835.0,1576.0
1114669,38295.0,101814.0,30047.0,4302.0
384896,3719.0,4349.0,3207.0,2250.0
1266563,518555.0,590411.0,663003.0,1597.0
1990626,126147.0,9861.0,9567.0,2225.0
2805996,140775.0,364177.0,84299.0,1725.0
5491393,2130760.0,2286040.0,2598810.0,1708490.0
2117959,3049.0,14776.0,67243.0,1721.0
3919579,138652.0,181349.0,1589940.0,1979.0
555413,16391.0,3446.0,2628.0,1672.0
1789282,93080.0,785860.0,92800.0,5932.0
5850465,651292.0,651382.0,5516560.0,1909.0
275149,9470.0,10165.0,11796.0,2349.0
6933736,1345180.0,1675370.0,3338740.0,1582.0
2020790,36964.0,129748.0,38318.0,2038.0
366015,152272.0,15430.0,16765.0,1723.0
2605297,6431.0,207410.0,17825.0,1579.0
2854436,76714.0,8831.0,5502.0,1566.0
3267431,1544840.0,455415.0,230551.0,1799.0
2059201,123409.0,213347.0,26693.0,1719.0
4914889,72882.0,1004090.0,278163.0,3190.0
444156,22346.0,68366.0,22340.0,3915.0
835237,5175.0,8489.0,9701.0,1752.0
1581135,113551.0,17584.0,16069.0,1719.0
551356,72112.0,18302.0,12477.0,1948.0
