query,input,intermediate 1,intermediate 2,intermediate 3,results
0,9535,53756,499364,408692,2938
1,44646,16676,23708,1205,16762
2,735558,181268,627572,6048,74338
3,3236742,2083532,8401,1172276,67234
4,180534,104372,44972,57932,2938
5,115974,45068,77852,25484,2938
6,235398,150404,49124,125156,2938
7,235518,145892,33668,74828,2938
8,449958,403,38828,379748,2938
9,1343,45332,84788,320,2938
,5080734,2023484,30012812,3049172,2938
11,24003,724196,54572,1771436,5002
12,395382,449,275228,94916,2938
13,2426,271196,62084,289,4834
14,3413,238724,623,126164,2938
15,2924766,1714556,1283204,409484,2938
16,270126,117836,50732,139724,2962
17,863478,777116,782,43412,2938
18,131166,18956,23012,98588,2938
19,450318,361436,97748,180836,3466
,813654,667748,34196,288308,2938
21,1229934,838748,515396,73748,3490
22,1640718,15557,1518,123644,56506
23,625254,2011,2831,314948,11530
24,49559,473708,4125044,9199,62674
25,130182,54284,37364,101516,2938
26,8583054,5460428,29783,190916,2938
27,540942,943,25916,435668,2938
28,214494,102116,549,955,2938
29,919782,574148,347756,57692,5098
,1706094,34436,22436,1659284,2938
31,507486,399836,82268,87524,4522
32,629766,528164,92276,59396,2938
33,445326,129164,278612,166364,20338
34,288678,225932,141092,383,3730
35,1245102,698228,325748,305252,2938
36,1800486,220148,5655,1058468,2938
37,7151,657668,32852,45356,2938
38,991182,698228,71828,242972,2938
39,4242822,4120076,24757436,4921964,144151642
,2367,115316,82748,1297,18634
41,10856,838748,2433,2070,2938
42,225678,45908,2186468,170108,3058
43,781014,33428,741812,531,2938
44,677574,73124,608228,36764,2938
45,227838,165452,1248,112076,33730
46,210342,47492,159836,40604,3394
47,666462,495332,123572,67484,2938
48,206598,304532,260708,448172,1421290
49,7896,2041,367508,411284,4522
