qdags_1,post mj_1,post mj_2,post mj,result
385832,616973.0,116889.0,21745.0,8325830.0
232780,2743.0,3014.0,154638.0,1724.0
214843,22037.0,21487.0,130976.0,3092.0
986732,6210.0,11136.0,179985.0,1624.0
403349,34768.0,20366.0,85185.0,2026.0
374376,37861.0,174720.0,71408.0,2551.0
6366388,2337180.0,101495.0,147927.0,1725.0
426270,24920.0,45951.0,93316.0,2022.0
1691221,24719.0,16707.0,262801.0,1723.0
1084710,15514.0,78272.0,8542.0,1724.0
503310,223370.0,34587.0,39791.0,2649.0
776072,14143.0,164202.0,34136.0,1726.0
538747,4023.0,77340.0,2898030.0,2390.0
1068996,51014.0,574984.0,63469.0,2151.0
229949,6968.0,11181.0,11824.0,2021.0
754502,18603.0,220881.0,24775.0,1747.0
1181936,38747.0,27090.0,27147.0,2553.0
623789,166231.0,45396.0,46947.0,2633.0
6155013,20931.0,1592790.0,51203.0,1728.0
935499,1066860.0,80270.0,226691.0,45189.0
101268,2800.0,17678700000000.0,2149300.0,1831680000.0
1795915,718323.0,10736.0,2528.0,1722.0
196773,6680.0,78017.0,111723.0,1983.0
1239565,7211.0,16541.0,4133.0,1858.0
7152834,886787.0,61182.0,33742.0,31240.0
1275007,309284.0,3273110.0,966974.0,1572.0
246942,6673.0,14395.0,13222.0,1722.0
1298608,231226.0,9326.0,23904.0,1720.0
379384,13790.0,365087.0,427054.0,2054.0
1830083,24078.0,71159.0,34585.0,1723.0
717036,5294.0,263387.0,27960.0,1620.0
718510,27032.0,3769.0,49417.0,1718.0
2078728,103473.0,59911.0,72860.0,2446.0
397202,49230.0,330105.0,607241.0,2567.0
388039,36014.0,37173.0,35954.0,4112.0
2296536,8218.0,36844.0,45050.0,4876.0
1348901,101456.0,8055.0,81670.0,7484.0
509998,129344.0,619395.0,38122.0,21823.0
145007,30749.0,50365.0,9906.0,1722.0
310943,25267.0,55145.0,17723.0,3128.0
507201,8997.0,6747.0,2558.0,1725.0
1175531,49769.0,20394.0,44511.0,1698.0
1525314,20099.0,27680.0,142391.0,1723.0
808180,46383.0,8152780.0,195049.0,8424.0
2215872,125043.0,91665.0,42456.0,5434.0
820682,27396.0,43108.0,122322.0,4679.0
256643,19845.0,1681490.0,34908.0,92994.0
229104,29739.0,5222.0,3918.0,8158.0
