Pattern,Avg factor input,Median factor input,Avg factor inter,Median factor inter
J3,611.32,312.02,42.99,21.7
J4,877.18,533.5,33.5,4.27
T3,783.74,551.59,43.38,22.3
Ti3,263.05,114.2,34.19,12.62
T4,1355.29,1295.96,58.06,8.13
Ti4,572.66,253.34,23.25,8.35
triangle_tadpole,1549.43,1082.39,402.73,61.55
square_tadpole,2017.64,1786.57,377.76,51.08
bowtie,2193.56,2114.0,56.63,2.02
triangle_barbell,2216.49,1952.94,609.47,591.07
square_barbell,1330.69,1228.72,378.57,231.35
penta_barbell,445.47,404.46,54.99,21.51
