qdags,post mj,result
1713785,3695,2582
1931137,3505,2464
3225103,2481,1722
2721052,16045,1914
2498999,2654,2528
2394514,2476,1736
3138234,2476,1616
1417274,2481,1646
3714419,38385,1759
2172911,2910,1720
2191146,2928,1896
2054880,4099,1742
3754256,3788,1588
2173121,3145,148229
3764145,4047,1637
3662452,7618,2174
5361792,4757,1831
5124922,3373,1720
5226594,2899,1565
5124922,4689,1902
792387,2518,1569
636172,6342,2208
5921582,6345,1826
3181778,66152,1628
3971126,401803,1567
3520435,3614,1722
3234096,14866,1651
3248144,2574,1603
2797465,2552,1578
1344877,2715,1720
959284,3925,2834
2658671,3614,1565
1111922,2897,1719
3487184,2814,1911
2668572,2781,1694
2566831,7443,2077
3737166,861977,1855
3342138,434233,1803
3342162,434233,1673
3737166,861978,1854
3342171,434424,1709
3266696,402316,2133
4150330,2719,1566
3570016,2745,1614
3988784,3069,1814
3266706,415274,1710
3988810,3069,1602
3290521,861977,1988
3892264,402160,1844
3349526,2994,1598
3497295,398944,1930
3916089,862411,2024
3521133,434676,1739
918315,12445,1733
7041426,3675,1579
2767187,3888,1723
693979,6342,1808
2967932,3530,1781
3333959,2909,1587
4695255,2916,1725
3655703,2949,1725
6053259,2930,1724
3920881,2951,1723
3807893,3378,1674
3651591,80920,1947
2131900,2678,1724
4570378,2476,1724
2171583,2774,1724
2201788,2907,1571
4891211,31522,1792
7571319,2773,1721
6360966,2512,1566
7359098,3701,1721
6309278,94101,1773
6087199,2493,1725
6118549,2493,1727
6334573,94920,1642
