Pattern,Mean MJ,Median MJ,Std. dev. MJ,Mean GHD,Median GHD,Std. dev. GHD
J3,3.88,0.48,8.83,0.21,0.11,0.31
J4,42.25,3.53,138.45,0.23,0.13,0.37
T3,0.51,0.04,1.99,0.11,0.03,0.18
Ti3,13.94,0.68,50.71,0.65,0.06,3.41
T4,170.83,0.8,462.43,0.59,0.1,1.3
Ti4,420.28,178.0,547.77,7.48,0.37,48.19
triangle_tadpole,1.12,0.11,3.29,0.78,0.16,1.3
square_tadpole,16.6,2.33,48.98,0.93,0.26,1.87
bowtie,3.8,0.67,7.21,0.13,0.03,0.22
triangle_barbell,16.56,3.26,29.43,0.41,0.35,0.36
square_barbell,696.09,558.37,604.28,1.72,1.02,1.48
penta_barbell,1800.0,1800.0,0.0,2.28,1.44,3.21
