query,qdags,post mj,result
0,10569982,139966.0,29050
1,10569982,139966.0,29050
2,9125686,139558.0,24442
3,14887198,174646.0,30970
4,9946750,177286.0,30970
5,3852382,498646.0,24442
6,8169430,498646.0,24442
7,20681806,504838.0,24442
8,8868382,525862.0,24442
9,11427598,498646.0,24442
10,17119822,1025710.0,28282
11,19726078,1049970.0,24826
12,21991246,1247690.0,24826
13,19172614,1043110.0,24442
14,17526574,664318.0,55162
15,17529286,664318.0,55162
16,20759206,664342.0,81274
17,6087406,541198.0,28666
18,9282694,765550.0,35194
19,12891934,471238.0,48250
20,9072742,471790.0,52090
21,8948182,403726.0,33274
22,9072742,423406.0,33274
23,12884686,755110.0,24826
24,12834526,755110.0,24826
25,12844270,755110.0,24826
26,13325974,755110.0,24826
27,13489318,5113270.0,30202
28,14247406,5113270.0,30202
29,13018294,5113270.0,30202
30,21213598,5113270.0,29050
31,34823590,504454.0,24442
32,8085430,591070.0,34426
33,12834142,571078.0,24442
34,20721190,727366.0,24442
35,16117750,5113340.0,45562
36,14888638,5113340.0,45562
37,15045238,5113370.0,46330
38,14888638,5113340.0,43258
39,23083942,5113340.0,43258
40,9911374,401398.0,24442
41,9911374,408670.0,156922
42,14005414,471790.0,156922
43,9885814,420550.0,24442
44,17824606,458614.0,157306
45,20613790,5115620.0,33274
46,12975190,669670.0,30202
47,18296806,10580300.0,42490
48,21551278,10580300.0,30970
