qdags,post mj,result
8126226,584798.0,18474
4753842,502526.0,9450
8126226,609158.0,17610
6086130,499502.0,8970
5062098,502022.0,9450
5982954,503174.0,9450
5175138,502838.0,14634
8329674,498782.0,7722
4930938,498134.0,7722
9010938,498134.0,7722
12949146,514766.0,8970
5836050,498398.0,7722
8287530,2628850.0,25770
14254410,757046.0,8298
8287530,2628850.0,8970
8861082,2086770.0,7914
7897530,2026550.0,8682
10653906,2060820.0,7914
10653906,2061830.0,7914
16620786,2315800.0,7914
10653906,2060820.0,7914
10653906,2053890.0,10794
9863994,2048700.0,8970
10653906,2082090.0,7914
10653906,2060820.0,7914
10653906,2061830.0,7914
10653906,2061490.0,10794
9584226,2027460.0,7914
9863994,2056670.0,8970
10653906,2053890.0,10794
9863994,2066730.0,7914
15857730,6221290.0,7722
12263562,6229650.0,7722
8008338,6212100.0,7722
16615818,7115920.0,7722
19222914,6402490.0,7722
16463010,10600700.0,9930
17383866,10638500.0,9930
24350058,10670400.0,9930
18621426,10580200.0,9930
6592818,26870.0,8202
11321010,2797210.0,8682
20554602,1124630.0,7914
25699482,13479400.0,9546
25699482,13676800.0,9546
25699482,13479400.0,9546
13040802,1506090.0,7722
5019642,1425420.0,7722
13214946,1756550.0,7722
13077618,1468240.0,11178
