qdags,post mj,result
3716796,59316.0,3674
5607564,9924.0,3530
11795028,1170000.0,3530
7938564,2780000.0,3530
6482148,1190000.0,3842
10153716,5532.0,3530
10085652,5532.0,3530
11558700,5980000.0,3842
16696620,4720000.0,3842
11662908,3490000.0,3842
1178364,54948.0,3530
7710276,1050000.0,3962
6384060,298284.0,3530
1768308,341796.0,3530
11679540,245916.0,4082
10780908,71196.0,4634
11796396,1350000.0,4082
12441900,39756.0,3530
7557012,85764.0,3530
7408956,18804.0,3530
12532164,744684.0,3674
10999140,537420.0,3674
10995444,327684.0,3674
6244572,673404.0,3530
7253556,4720000.0,4106
6306588,180324.0,3530
16661172,16100000.0,3530
6244236,43188.0,7058
7057908,12156.0,4034
6321804,16620.0,5210
10077420,526332.0,3530
5166204,2780000.0,3530
4519308,280644.0,3530
4182780,583332.0,3530
5193084,52332.0,4034
4690548,11100.0,4034
5044308,150780.0,4034
5146644,200436.0,4034
5042748,56772.0,4322
5042748,56772.0,4322
11428908,2770000.0,3530
5195316,3450000.0,3554
8780820,1870000.0,3530
2841396,30468.0,3530
2557788,91332.0,3530
3570924,171012.0,3530
4297068,68844.0,4058
4476948,14796.0,4106
8501700,11000000.0,3554
8491428,20748.0,3554
8628348,33900.0,3554
