qdags,post mj,result
3871310,1190000.0,3554
2961566,1190000.0,3626
5628422,4290000.0,3530
4475414,755774.0,3554
10617734,355502.0,3530
10118246,350270.0,3530
2029766,350270.0,3530
1677278,75542.0,3986
6486254,3340000.0,4010
7454582,1130000.0,4010
4272110,1130000.0,4010
5161910,53390.0,3530
6486254,53390.0,3530
6486254,53390.0,3530
6486254,53390.0,3530
6830414,500054.0,3530
7466150,1140000.0,3530
7466150,1140000.0,3530
9928910,3750000.0,4538
14558150,3810000.0,6554
13916582,3750000.0,4538
8943998,3760000.0,4538
14707358,10600000.0,3530
13954766,10600000.0,3530
7000454,2650000.0,3722
9200414,2640000.0,4394
6013910,2640000.0,3530
9349742,2700000.0,3530
8836718,2640000.0,3530
9421142,2640000.0,3530
6834374,3750000.0,4394
5996870,2820000.0,3794
6834374,3750000.0,3650
5996870,2820000.0,3530
7423622,175526.0,4658
22641062,808862.0,3530
11504270,3420000.0,3530
11267774,3420000.0,4346
12244406,3430000.0,3530
11501174,3420000.0,3530
11511062,3420000.0,3530
12055646,3420000.0,3530
11305382,1190000.0,4058
11289902,1190000.0,4010
11290214,1570000.0,3626
2648150,1580000.0,3794
3269054,1560000.0,5114
9856214,131342.0,3626
6306278,2340000.0,3530
6780494,2340000.0,3530
