qdags,post mj,result
952818,9985.0,1578
210120,3544.0,1724
199890,3012.0,1738
181471,2686.0,1722
224462,3823.0,1722
5439385,641998.0,2087
1151562,14643.0,2039
2632223,672188.0,1799
1718236,277453.0,1702
3646181,691116.0,1715
1456028,438601.0,1642
6379675,958606.0,1799
1962436,50787.0,1897
1574631,57051.0,2354
2944396,148075.0,2650
3095624,64101.0,1805
3588189,66860.0,2068
3152922,41644.0,2115
1558726,109592.0,2062
1085975,79705.0,1725
4636905,3979540.0,1725
1377545,121591.0,1580
2712329,385379.0,1666
1030925,26899.0,1725
1555057,329360.0,1701
744141,115608.0,12874
6381338,41547.0,1651
5428125,5005.0,1722
8612752,165579.0,1568
7173370,120801.0,1722
8720427,3980050.0,3861
5207982,34199.0,3821
4686932,4063.0,1567
957372,102223.0,1712
228449,121152.0,1834
214696,21675.0,1572
235254,80484.0,1724
204419,196120.0,1718
238446,137227.0,3430
474215,9432.0,1667
4536973,305622.0,1573
568655,43168.0,1884
2435938,67332.0,1573
721025,81701.0,1871
1032485,82954.0,1763
5725647,33696.0,1724
4772446,33706.0,1881
6952637,5563450.0,1722
7203184,908818.0,1627
6990328,727243.0,1673
7942705,2161960.0,1580
6989528,2585980.0,1577
6949953,4433710.0,1722
1183820,102223.0,1726
454921,122061.0,1702
461677,80484.0,1823
430867,196120.0,2165
464832,137227.0,1861
412448,136086.0,1760
416902,48103.0,2677
3679084,932921.0,1704
2988529,597910.0,1645
1334715,103179.0,1727
3814812,809987.0,1644
2967064,1347000.0,1693
1453653,730894.0,1667
4378136,3979550.0,1721
3010871,69495.0,2035
635261,9366.0,1840
458935,13493.0,1985
1083086,97672.0,1566
3146635,101761.0,1590
437960,6609.0,1792
2436386,71899.0,1723
463417,73062.0,1723
2318605,88329.0,1688
1461138,7601.0,1842
3021792,23198.0,1605
1220138,19952.0,1723
2428754,36721.0,1723
452079,44663.0,1723
1271447,20500.0,1723
448890,39532.0,1677
487411,47740.0,1721
3749881,932928.0,2229
1432738,157477.0,1767
3059363,597917.0,1834
1278036,93954.0,1662
5257949,1145890.0,1571
3885609,809994.0,1698
3692617,421101.0,5192
3828381,441648.0,5397
1942308,475815.0,5311
2278994,934994.0,5168
1352924,354607.0,5298
1144806,51712.0,5275
3006501,14710.0,1584
1218014,7275.0,2027
630819,9311.0,1720
514742,7734.0,2339
3142193,27728.0,3199
5149312,3979550.0,1720
1677765,29473.0,1612
1990747,113167.0,1791
2942096,514648.0,1565
6627266,359784.0,1566
2030790,87933.0,1720
3918568,183904.0,1625
4105311,244354.0,1717
3756384,7669.0,1717
4357080,9318.0,1717
3657243,6524.0,1717
3741418,6203.0,1572
3646872,5960.0,1717
3675791,4369.0,2346
569857,5615.0,1738
852537,91820.0,1772
645417,26572.0,1718
1272550,17058.0,1697
2515383,81970.0,1598
904541,3562.0,2188
3771490,94621.0,1669
569893,6795.0,145928
2727346,32313.0,1762
1116504,3317.0,1572
988049,130923.0,1774
2924765,5305.0,1703
1377610,244355.0,1581
2704404,4153.0,1726
2412315,678158.0,2499
2767709,1463700.0,2477
2600910,8268.0,2139
2448891,483958.0,2594
2491106,531762.0,2813
3256450,481646.0,1589
3790050,1120140.0,1695
3261870,478267.0,1636
3201405,532804.0,1814
3275425,1232480.0,1719
5853608,1280280.0,1793
1574994,21567.0,1686
2021423,1330190.0,1734
3178756,1423700.0,1797
4434899,112723.0,1737
1446455,54377.0,1590
1205761,1053870.0,1723
