tuples,qdags
463797,1713785
546591,1931137
685272,3225103
669197,2721052
633085,2498999
588244,2394514
494134,3138234
274320,1417274
766742,3714419
442116,2172911
454789,2191146
385768,2054880
879237,3754256
451826,2173121
622985,3764145
609223,3662452
1102692,5361792
1077365,5124922
1091127,5226594
1077365,5124922
210928,792387
200130,636172
1104758,5921582
701586,3181778
934400,3971126
819588,3520435
701586,3234096
734066,3248144
619254,2797465
413936,1344877
192552,959284
686021,2658671
212098,1111922
586935,3487184
429769,2668572
416007,2566831
862842,3737166
767185,3342138
767185,3342162
862842,3737166
767185,3342171
648745,3266696
1036147,4150330
887570,3570016
1110129,3988784
648745,3266706
1110129,3988810
775647,3290521
922416,3892264
793032,3349526
826759,3497295
1049318,3916089
919934,3373328
953661,3521133
210686,918315
1054427,7041426
446857,2767187
204700,693979
684996,2967932
758232,3333959
963088,4695255
873545,3655703
1625976,6053259
1135219,3920881
1104954,3807893
1094156,3651591
414805,2131900
1011174,4570378
420077,2171583
465959,2201788
987954,4891211
1319583,7571319
1310307,6360966
1291565,7359098
1698851,6309278
1317123,6087199
1312404,6118549
1705367,6334573
