tuples,qdags,ghd,post mj,result
463797,1713785,1.71359e+06,3695,2582
546591,1931137,1.93094e+06,3505,2464
685272,3225103,3.22491e+06,2481,1722
669197,2721052,2.72086e+06,16045,1914
633085,2498999,2.49881e+06,2654,2528
588244,2394514,2.39432e+06,2476,1736
494134,3138234,3.13804e+06,2476,1616
274320,1417274,1.41708e+06,2481,1646
766742,3714419,3.71423e+06,38385,1759
442116,2172911,2.17272e+06,2910,1720
454789,2191146,2.19095e+06,2928,1896
385768,2054880,2.05469e+06,4099,1742
879237,3754256,3.75406e+06,3788,1588
451826,2173121,2.17293e+06,3145,148229
622985,3764145,3.76395e+06,4047,1637
609223,3662452,3.66226e+06,7618,2174
1102692,5361792,5.3616e+06,4757,1831
1077365,5124922,5.12473e+06,3373,1720
1091127,5226594,5.2264e+06,2899,1565
1077365,5124922,5.12473e+06,4689,1902
210928,792387,792195,2518,1569
200130,636172,635980,6342,2208
1104758,5921582,5.92139e+06,6345,1826
701586,3181778,3.18159e+06,66152,1628
934400,3971126,3.97093e+06,401803,1567
819588,3520435,3.52024e+06,3614,1722
701586,3234096,3.2339e+06,14866,1651
734066,3248144,3.24795e+06,2574,1603
619254,2797465,2.79727e+06,2552,1578
413936,1344877,1.34468e+06,2715,1720
192552,959284,959092,3925,2834
686021,2658671,2.65848e+06,3614,1565
212098,1111922,1.11173e+06,2897,1719
586935,3487184,3.48699e+06,2814,1911
429769,2668572,2.66838e+06,2781,1694
416007,2566831,2.56664e+06,7443,2077
862842,3737166,3.73697e+06,861977,1855
767185,3342138,3.34195e+06,434233,1803
767185,3342162,3.34197e+06,434233,1673
862842,3737166,3.73697e+06,861978,1854
767185,3342171,3.34198e+06,434424,1709
648745,3266696,3.2665e+06,402316,2133
1036147,4150330,4.15014e+06,2719,1566
887570,3570016,3.56982e+06,2745,1614
1110129,3988784,3.98859e+06,3069,1814
648745,3266706,3.26651e+06,415274,1710
1110129,3988810,3.98862e+06,3069,1602
775647,3290521,3.29033e+06,861977,1988
922416,3892264,3.89207e+06,402160,1844
793032,3349526,3.34933e+06,2994,1598
826759,3497295,3.4971e+06,398944,1930
1049318,3916089,3.9159e+06,862411,2024
919934,3373328,3.37314e+06,1.77431e+13,1727
953661,3521133,3.52094e+06,434676,1739
210686,918315,918123,12445,1733
1054427,7041426,7.04123e+06,3675,1579
446857,2767187,2.767e+06,3888,1723
204700,693979,693787,6342,1808
684996,2967932,2.96774e+06,3530,1781
758232,3333959,3.33377e+06,2909,1587
963088,4695255,4.69506e+06,2916,1725
873545,3655703,3.65551e+06,2949,1725
1625976,6053259,6.05307e+06,2930,1724
1135219,3920881,3.92069e+06,2951,1723
1104954,3807893,3.8077e+06,3378,1674
1094156,3651591,3.6514e+06,80920,1947
414805,2131900,2.13171e+06,2678,1724
1011174,4570378,4.57019e+06,2476,1724
420077,2171583,2.17139e+06,2774,1724
465959,2201788,2.2016e+06,2907,1571
987954,4891211,4.89102e+06,31522,1792
1319583,7571319,7.57113e+06,2773,1721
1310307,6360966,6.36077e+06,2512,1566
1291565,7359098,7.35891e+06,3701,1721
1698851,6309278,6.30909e+06,94101,1773
1317123,6087199,6.08701e+06,2493,1725
1312404,6118549,6.11836e+06,2493,1727
1705367,6334573,6.33438e+06,94920,1642
