tuples,qdags,ghd,post mj,result
167595,1204386,1.20439e+06,509890,25663
211815,2503774,2.50377e+06,2.02305e+06,565252
15463,195904,195904,111498,24881
673461,4990294,4.99029e+06,4.47292e+06,55610624044
598723,4506724,4.50672e+06,4.28347e+06,25262
222537,2132314,2.13231e+06,1.76813e+06,24881
69976,1049664,1.04966e+06,839070,29267
49253,461056,461056,376928,1047762419
139331,1911064,1.91106e+06,639260,29565
189828,2277672,2.27767e+06,2.02434e+06,25382
17335,108670,108670,84580,24881
1016069,11627480,1.16275e+07,1.13892e+07,54166697
92817,1356576,1.35658e+06,1.28233e+06,7238141
58286,401010,401010,241960,29606
211585,2452786,2.45279e+06,2.33203e+06,26585
704695,5538244,5.53824e+06,5.59269e+06,25302
201453,1574522,1.57452e+06,1.12715e+06,28526
215119,2565732,2.56573e+06,2.25547e+06,24881
929911,6537734,6.53773e+06,2.99386e+06,560630
16454,197476,197476,117810,24903
21158,176262,176262,143518,24881
113310,1327982,1.32798e+06,1.17172e+06,30767
291240,3699726,3.69973e+06,3.20634e+06,24881
94919,1411366,1.41137e+06,1.16703e+06,24881
40841,277376,277376,135600,24881
1081653,7014214,7.01421e+06,4.01266e+06,819761490
200070,1474002,1.474e+06,488518,25663
13666,174506,174506,112598,404017
122578,1567358,1.56736e+06,1.16634e+06,654042
1069859,4599958,4.59996e+06,4.08825e+06,611236
8354,107500,107500,60066,25322
205508,2465818,2.46582e+06,2.0249e+06,2415565110
588887,4633340,4.63334e+06,3.04872e+06,24881
527068,3030858,3.03086e+06,2.97337e+06,401437
622108,3001086,3.00109e+06,2.83658e+06,11430245
704377,5536324,5.53632e+06,5.43073e+06,27928
38760,420792,420792,220932,24881
65857,896412,896412,463824,24881
247951,2978432,2.97843e+06,2.61738e+06,24881
570521,3801296,3.8013e+06,3.69485e+06,273619
319500,3072030,3.07203e+06,2.91195e+06,25423
5373,96054,96054,57714,24881
307607,2257050,2.25705e+06,610314,24881
141685,1421100,1.4211e+06,1.31641e+06,28382534
830793,9060652,9.06065e+06,8.24702e+06,82541821387
1600399,18449094,1.84491e+07,1.40518e+07,24881
94924,771616,771616,666998,25803
221674,1742250,1.74225e+06,777908,898077
188712,1610784,1.61078e+06,1.42083e+06,741093
112665,733644,733644,5.76486e+06,26087
