tuples,qdags,ghd,post mj,result
101478,952492,952492,408054,25783
3679,43586,43586,119780,16408510
51253,734506,734506,180574,739761085
281911,3235698,3.2357e+06,1.17157e+06,668523633
9160,179482,179482,57216,24881
6980,114966,114966,44414,26364
15932,234386,234386,124468,24881
15099,234476,234476,74126,25382
91985,448902,448902,39564,24881
7482,133264,133264,44576,24881
421362,5079700,5.0797e+06,2.0228e+06,25042
326868,2399334,2.39933e+06,1.77066e+06,463029
32074,394324,394324,94210,24881
20042,241616,241616,61414,445039
18363,340262,340262,61674,26364
209047,2923752,2.92375e+06,1.2825e+06,25362
15124,269104,269104,117110,25688
124076,862442,862442,77582,24881
15908,130154,130154,22328,24881
36404,449266,449266,97082,307810
90741,812608,812608,287582,24881
193818,1228882,1.22888e+06,514696,310618
99981,1639672,1.63967e+06,151098,56132507
34845,624236,624236,314254,1119680
339367,4954862,4.95486e+06,919264,62294486
6303,129144,129144,36694,25342
1161622,8582008,8.58201e+06,2.97767e+06,24881
40826,539890,539890,93608,25382
9499,213466,213466,94848,24881
48108,918752,918752,347080,477020
178914,1705042,1.70504e+06,33714,24881
26576,506422,506422,86800,420216
54123,628734,628734,91612,24881
24926,444276,444276,165650,20002172
37411,287624,287624,140388,332029
98381,1244076,1.24408e+06,325022,24881
159727,1799416,1.79942e+06,564912,24881
88132,714068,714068,44634,25382
79761,990150,990150,242282,24881
455642,4241796,4.2418e+06,4.92129e+06,1.44151e+0810141700
11217,235754,235754,114646,18274131
145550,1084658,1.08466e+06,206280,24881
20945,224644,224644,45130,26906
38436,779916,779916,32670,24881
32548,676514,676514,72388,24881
13357,226770,226770,111378,33408264
10733,209284,209284,39946,29966
83018,665444,665444,122882,25262
18276,205540,205540,447480,1.42092e+0628456
36828,788578,788578,366770,407413
