tuples,qdags,ghd,post mj,result,number of results
463797,3428292,3.43E+06,7884,4842,102
685272,6450876,6.45E+06,5508,3138,1
633085,4998708,5.00E+06,5844,4722,92
494134,6277188,6.28E+06,5508,3138,2
274320,2835180,2.84E+06,5508,3258,3
454789,4383084,4.38E+06,6276,3138,2
385768,4110564,4.11E+06,8652,3138,2
879237,7509300,7.51E+06,8028,3138,2
451826,4347060,4.35E+06,6756,3138,1
622985,7529100,7.53E+06,6372,3138,1
609223,7325652,7.33E+06,15684,4026,14
1102692,10724388,1.07E+07,9972,3402,3
1091127,10453908,1.05E+07,6276,3138,1
210928,1585596,1.59E+06,5508,3138,1
200130,1273068,1.27E+06,13164,3570,3
1104758,11843916,1.18E+07,13116,3570,4
819588,7041636,7.04E+06,7620,3138,1
619254,5595660,5.60E+06,5580,3138,1
413936,2690436,2.69E+06,5940,3138,1
192552,1919316,1.92E+06,8316,3138,1
586935,6975036,6.98E+06,6108,3138,1
429769,5337852,5.34E+06,6036,3138,1
416007,5134404,5.13E+06,15348,3834,15
862842,7474980,7.47E+06,1.72E+06,3402,12
767185,6685068,6.69E+06,868956,3594,6
767185,6685068,6.69E+06,868956,3138,1
648745,6534084,6.53E+06,803940,3690,8
1036147,8301420,8.30E+06,5940,3138,1
887570,7140756,7.14E+06,5964,3138,1
1110129,7978260,7.98E+06,6636,3234,5
775647,6581676,6.58E+06,1.72E+06,3690,10
922416,7785228,7.79E+06,804756,3354,12
793032,6699756,6.70E+06,6396,3186,4
1049318,7832820,7.83E+06,1.73E+06,3762,26
919934,6747348,6.75E+06,7236,3234,8
953661,7042908,7.04E+06,869772,3186,4
1054427,14083476,1.41E+07,7860,3138,1
684996,5936580,5.94E+06,7500,3162,3
758232,6668628,6.67E+06,6324,3138,1
963088,9391212,9.39E+06,6324,3138,1
873545,7312068,7.31E+06,6324,3138,1
1625976,12107172,1.21E+07,6324,3138,1
1135219,7842492,7.84E+06,6324,3138,1
414805,4264620,4.26E+06,5868,3138,1
1011174,9141636,9.14E+06,5508,3138,1
465959,4404348,4.40E+06,6324,3138,2
1319583,15143364,1.51E+07,5940,3138,1
1310307,12722700,1.27E+07,5508,3138,1
1698851,12619356,1.26E+07,188652,3138,2
1364968,13107228,1.31E+07,5508,3138,1
