tuples,qdags,ghd,post mj,result,number of results
tuples,qdags,ghd,post mj,result,number of results
463797,3428292,3.42829e+06,7884,4842,102
546591,3862956,3.86296e+06,7476,4170,51
685272,6450876,6.45088e+06,5508,3138,1
669197,5442732,5.44273e+06,5532,3498,9
633085,4998708,4.99871e+06,5844,4722,92
588244,4789788,4.78979e+06,5508,3138,2
494134,6277188,6.27719e+06,5508,3138,2
274320,2835180,2.83518e+06,5508,3258,3
766742,7429572,7.42957e+06,63540,3138,2
442116,4346628,4.34663e+06,6276,3138,1
454789,4383084,4.38308e+06,6276,3138,2
385768,4110564,4.11056e+06,8652,3138,2
879237,7509300,7.5093e+06,8028,3138,2
451826,4347060,4.34706e+06,6756,3138,1
622985,7529100,7.5291e+06,6372,3138,1
609223,7325652,7.32565e+06,15684,4026,14
1102692,10724388,1.07244e+07,9972,3402,3
1077365,10250460,1.02505e+07,7212,3138,1
1091127,10453908,1.04539e+07,6276,3138,1
1077365,10250460,1.02505e+07,9828,3474,7
210928,1585596,1.5856e+06,5508,3138,1
200130,1273068,1.27307e+06,13164,3570,3
1104758,11843916,1.18439e+07,13116,3570,4
701586,6364236,6.36424e+06,6396,3138,1
934400,7942860,7.94286e+06,804012,3138,1
819588,7041636,7.04164e+06,7620,3138,1
701586,6364236,6.36424e+06,6396,3138,1
734066,6496884,6.49688e+06,5580,3138,1
619254,5595660,5.59566e+06,5580,3138,1
413936,2690436,2.69044e+06,5940,3138,1
192552,1919316,1.91932e+06,8316,3138,1
686021,5318052,5.31805e+06,7692,3138,1
212098,2224524,2.22452e+06,6252,3138,1
586935,6975036,6.97504e+06,6108,3138,1
429769,5337852,5.33785e+06,6036,3138,1
416007,5134404,5.1344e+06,15348,3834,15
862842,7474980,7.47498e+06,1.72444e+06,3402,12
767185,6685068,6.68507e+06,868956,3594,6
767185,6685068,6.68507e+06,868956,3138,1
862842,7474980,7.47498e+06,1.72444e+06,3402,12
767185,6685068,6.68507e+06,868956,3138,1
648745,6534084,6.53408e+06,803940,3690,8
1036147,8301420,8.30142e+06,5940,3138,1
887570,7140756,7.14076e+06,5964,3138,1
1110129,7978260,7.97826e+06,6636,3234,5
648745,6534084,6.53408e+06,803940,3138,2
1110129,7978260,7.97826e+06,6636,3138,1
775647,6581676,6.58168e+06,1.72444e+06,3690,10
922416,7785228,7.78523e+06,804756,3354,12
793032,6699756,6.69976e+06,6396,3186,4
826759,6995316,6.99532e+06,798324,3522,13
1049318,7832820,7.83282e+06,1.72525e+06,3762,26
919934,6747348,6.74735e+06,7236,3234,8
953661,7042908,7.04291e+06,869772,3186,4
210686,1837284,1.83728e+06,25332,3138,2
1054427,14083476,1.40835e+07,7860,3138,1
446857,5534940,5.53494e+06,8244,3138,1
204700,1388676,1.38868e+06,13164,3138,2
684996,5936580,5.93658e+06,7500,3162,3
758232,6668628,6.66863e+06,6324,3138,1
963088,9391212,9.39121e+06,6324,3138,1
873545,7312068,7.31207e+06,6324,3138,1
1625976,12107172,1.21072e+07,6324,3138,1
1135219,7842492,7.84249e+06,6324,3138,1
1104954,7616460,7.61646e+06,7236,3138,1
1094156,7303932,7.30393e+06,18372,3546,7
414805,4264620,4.26462e+06,5868,3138,1
1011174,9141636,9.14164e+06,5508,3138,1
420077,4343964,4.34396e+06,6060,3138,1
465959,4404348,4.40435e+06,6324,3138,2
987954,9783204,9.7832e+06,63540,3210,5
1319583,15143364,1.51434e+07,5940,3138,1
1310307,12722700,1.27227e+07,5508,3138,1
1291565,14718996,1.4719e+07,7812,3138,1
1698851,12619356,1.26194e+07,188652,3138,2
1317123,12175068,1.21751e+07,5508,3138,2
1312404,12237924,1.22379e+07,5508,3138,2
1705367,12670020,1.267e+07,190212,3138,1
1364968,13107228,1.31072e+07,5508,3138,1
