tuples,qdags,ghd,post mj,result,number of results
tuples,qdags,ghd,post mj,result,number of results
167595,1205382,1.20538e+06,232724,2938,3
211815,2504814,2.50481e+06,3.96686e+06,5986,52
15463,196950,196950,87452,2938,1
673461,4991334,4.99133e+06,1.99656e+06,556498,24044
598723,4507782,4.50778e+06,160076,2938,2
222537,2133390,2.13339e+06,1.76889e+06,2938,1
69976,1050678,1.05068e+06,59324,3298,7
49253,462102,462102,293132,105130,2419
139331,1912086,1.91209e+06,1.21504e+06,3370,5
189828,2278686,2.27869e+06,592244,2938,2
17335,109710,109710,18692,2938,1
1016069,11628534,1.16285e+07,154556,54538,697
92817,1357614,1.35761e+06,3.26731e+06,7618,141
58286,402054,402054,179084,3346,6
211585,2453814,2.45381e+06,77252,3010,5
704695,5539302,5.5393e+06,5.59341e+06,2938,2
201453,1575582,1.57558e+06,374108,3274,6
215119,2566782,2.56678e+06,806108,2938,1
929911,6538782,6.53878e+06,3.48336e+06,5962,30
16454,198510,198510,118556,2938,3
21158,177270,177270,25820,2938,1
113310,1329030,1.32903e+06,129212,3442,7
291240,3700806,3.70081e+06,103028,2938,1
94919,1412430,1.41243e+06,170852,2938,1
40841,278406,278406,33044,2938,1
1081653,7015254,7.01525e+06,4.01335e+06,82354,1490
200070,1475022,1.47502e+06,489188,2938,3
13666,175566,175566,61748,4426,17
122578,1568382,1.56838e+06,379292,6922,42
1069859,4600998,4.601e+06,4.08895e+06,6466,36
8354,108558,108558,21332,2938,2
205508,2466870,2.46687e+06,3.92892e+06,241906,5110
588887,4634406,4.63441e+06,646172,2938,1
527068,3031926,3.03193e+06,54908,4378,37
622108,3002118,3.00212e+06,154076,11818,245
704377,5537382,5.53738e+06,5.43144e+06,3154,8
38760,421806,421806,187052,2938,1
65857,897462,897462,116348,2938,1
247951,2979462,2.97946e+06,103124,2938,1
570521,3802326,3.80233e+06,96836,3058,19
319500,3073062,3.07306e+06,87788,2938,3
5373,97110,97110,58484,2938,1
307607,2258094,2.25809e+06,1.48867e+06,2938,1
141685,1422126,1.42213e+06,1.31709e+06,28762,534
830793,9061686,9.06169e+06,8.24772e+06,825778,21387
1600399,18450102,1.84501e+07,1.40524e+07,2938,1
94924,772662,772662,2.06052e+06,2938,3
221674,1743294,1.74329e+06,953420,9370,77
188712,1611846,1.61185e+06,155372,7786,93
112665,734694,734694,5.76556e+06,3034,7
