tuples,qdags,ghd,post mj,result,number of results
tuples,qdags,ghd,post mj,result,number of results
1515213,10569982,1.057e+07,139966,29050,4
1515213,10569982,1.057e+07,139966,29050,4
1208931,9125686,9.12569e+06,139558,24442,1
2299078,14887198,1.48872e+07,174646,30970,2
1616511,9946750,9.94675e+06,177286,30970,2
371670,3852382,3.85238e+06,498646,24442,1
1165780,8169430,8.16943e+06,498646,24442,1
1823431,20681806,2.06818e+07,504838,24442,1
1104014,8868382,8.86838e+06,525862,24442,1
1696606,11427598,1.14276e+07,498646,24442,1
1732468,17119822,1.71198e+07,1.02571e+06,28282,2
2308120,19726078,1.97261e+07,1.04997e+06,24826,2
2393171,21991246,2.19912e+07,1.24769e+06,24826,2
2046044,19172614,1.91726e+07,1.04311e+06,24442,1
1716076,17526574,1.75266e+07,664318,55162,6
1714818,17529286,1.75293e+07,664318,55162,6
2196864,20759206,2.07592e+07,664342,81274,12
600991,6087406,6.08741e+06,541198,28666,2
1080698,9282694,9.28269e+06,765550,35194,5
1659912,12891934,1.28919e+07,471238,48250,50
1139425,9072742,9.07274e+06,471790,52090,56
1107784,8948182,8.94818e+06,403726,33274,4
1139425,9072742,9.07274e+06,423406,33274,4
2250866,12884686,1.28847e+07,755110,24826,2
2242152,12834526,1.28345e+07,755110,24826,2
2244322,12844270,1.28443e+07,755110,24826,2
2298973,13325974,1.3326e+07,755110,24826,2
1752430,13489318,1.34893e+07,5.11327e+06,30202,2
1814025,14247406,1.42474e+07,5.11327e+06,30202,2
1687160,13018294,1.30183e+07,5.11327e+06,30202,2
2813091,21213598,2.12136e+07,5.11327e+06,29050,2
2586113,34823590,3.48236e+07,504454,24442,2
618699,8085430,8.08543e+06,591070,34426,8
1147615,12834142,1.28341e+07,571078,24442,2
2230712,20721190,2.07212e+07,727366,24442,2
2057733,16117750,1.61178e+07,5.11334e+06,45562,8
1930868,14888638,1.48886e+07,5.11334e+06,45562,8
1938638,15045238,1.50452e+07,5.11337e+06,46330,16
1930868,14888638,1.48886e+07,5.11334e+06,43258,8
3056799,23083942,2.30839e+07,5.11334e+06,43258,8
1191065,9911374,9.91137e+06,401398,24442,1
1191065,9911374,9.91137e+06,408670,156922,253
1720530,14005414,1.40054e+07,471790,156922,253
1189089,9885814,9.88581e+06,420550,24442,1
2241017,17824606,1.78246e+07,458614,157306,253
2789999,20613790,2.06138e+07,5.11562e+06,33274,5
1954644,12975190,1.29752e+07,669670,30202,3
1688315,18296806,1.82968e+07,1.05803e+07,42490,4
1956656,21551278,2.15513e+07,1.05803e+07,30970,2
