tuples,qdags,ghd,post mj,result,number of results
tuples,qdags,ghd,post mj,result,number of results
913132,8126226,8.12623e+06,584798,18474,27
410473,4753842,4.75384e+06,502526,9450,3
913132,8126226,8.12623e+06,609158,17610,26
596453,6086130,6.08613e+06,499502,8970,2
453307,5062098,5.0621e+06,502022,9450,3
537338,5982954,5.98295e+06,503174,9450,3
453869,5175138,5.17514e+06,502838,14634,13
926894,8329674,8.32967e+06,498782,7722,1
433425,4930938,4.93094e+06,498134,7722,1
1064595,9010938,9.01094e+06,498134,7722,1
1536404,12949146,1.29491e+07,514766,8970,2
524912,5836050,5.83605e+06,498398,7722,1
1056845,8287530,8.28753e+06,2.62885e+06,25770,168
1848242,14254410,1.42544e+07,757046,8298,4
1056845,8287530,8.28753e+06,2.62885e+06,8970,8
1155907,8861082,8.86108e+06,2.08677e+06,7914,2
1163146,7897530,7.89753e+06,2.02655e+06,8682,4
1413071,10653906,1.06539e+07,2.06082e+06,7914,2
1413071,10653906,1.06539e+07,2.06183e+06,7914,2
2204468,16620786,1.66208e+07,2.3158e+06,7914,2
1413071,10653906,1.06539e+07,2.06082e+06,7914,2
1413071,10653906,1.06539e+07,2.05389e+06,10794,24
1317414,9863994,9.86399e+06,2.0487e+06,8970,8
1413071,10653906,1.06539e+07,2.08209e+06,7914,2
1413071,10653906,1.06539e+07,2.06082e+06,7914,2
1413071,10653906,1.06539e+07,2.06183e+06,7914,2
1413071,10653906,1.06539e+07,2.06149e+06,10794,24
1187113,9584226,9.58423e+06,2.02746e+06,7914,2
1317414,9863994,9.86399e+06,2.05667e+06,8970,8
1413071,10653906,1.06539e+07,2.05389e+06,10794,24
1317414,9863994,9.86399e+06,2.06673e+06,7914,2
2270410,15857730,1.58577e+07,6.22129e+06,7722,1
1745514,12263562,1.22636e+07,6.22965e+06,7722,1
1178854,8008338,8.00834e+06,6.2121e+06,7722,1
2332005,16615818,1.66158e+07,7.11592e+06,7722,1
2517620,19222914,1.92229e+07,6.40249e+06,7722,1
1464606,16463010,1.6463e+07,1.06007e+07,9930,3
1548637,17383866,1.73839e+07,1.06385e+07,9930,3
2547703,24350058,2.43501e+07,1.06704e+07,9930,3
1642444,18621426,1.86214e+07,1.05802e+07,9930,3
662543,6592818,6.59282e+06,26870,8202,2
1590949,11321010,1.1321e+07,2.79721e+06,8682,14
1873429,20554602,2.05546e+07,1.12463e+06,7914,2
2519845,25699482,2.56995e+07,1.34794e+07,9546,3
2519845,25699482,2.56995e+07,1.36768e+07,9546,3
2519845,25699482,2.56995e+07,1.34794e+07,9546,3
1593867,13040802,1.30408e+07,1.50609e+06,7722,1
484518,5019642,5.01964e+06,1.42542e+06,7722,1
1610449,13214946,1.32149e+07,1.75655e+06,7722,1
1594782,13077618,1.30776e+07,1.46824e+06,11178,5
