tuples,qdags,ghd,post mj,result,number of results
463481,3716796,3.72E+06,59316,3674,2
699023,5607564,5.61E+06,9924,3530,1
1619730,11795028,1.18E+07,1.17E+06,3530,1
1108613,7938564,7.94E+06,2.78E+06,3530,1
933173,6482148,6.48E+06,1.19E+06,3842,2
1320610,10153716,1.02E+07,5532,3530,1
1315677,10085652,1.01E+07,5532,3530,1
1593265,11558700,1.16E+07,5.98E+06,3842,2
2218189,16696620,1.67E+07,4.72E+06,3842,2
1598013,11662908,1.17E+07,3.49E+06,3842,2
98741,1178364,1.18E+06,54948,3530,1
1036929,7710276,7.71E+06,1.05E+06,3962,2
728968,6384060,6.38E+06,298284,3530,1
141746,1768308,1.77E+06,341796,3530,1
1114003,11679540,1.17E+07,245916,4082,3
1026019,10780908,1.08E+07,71196,4634,6
1247247,11796396,1.18E+07,1.35E+06,4082,3
2047214,12441900,1.24E+07,39756,3530,1
1445583,7557012,7.56E+06,85764,3530,1
1430553,7408956,7.41E+06,18804,3530,1
1376278,12532164,1.25E+07,744684,3674,2
1205675,10999140,1.10E+07,537420,3674,2
1213266,10995444,1.10E+07,327684,3674,2
749304,6244572,6.24E+06,673404,3530,1
880539,7253556,7.25E+06,4.72E+06,4106,4
757889,6306588,6.31E+06,180324,3530,1
1531064,16661172,1.67E+07,1.61E+07,3530,1
1068128,6244236,6.24E+06,43188,7058,9
1135432,7057908,7.06E+06,12156,4034,2
1073275,6321804,6.32E+06,16620,5210,5
1477301,10077420,1.01E+07,526332,3530,1
728735,5166204,5.17E+06,2.78E+06,3530,1
623464,4519308,4.52E+06,280644,3530,1
588422,4182780,4.18E+06,583332,3530,1
773131,5193084,5.19E+06,52332,4034,2
703973,4690548,4.69E+06,11100,4034,2
760657,5044308,5.04E+06,150780,4034,2
764678,5146644,5.15E+06,200436,4034,2
761268,5042748,5.04E+06,56772,4322,8
761268,5042748,5.04E+06,56772,4322,8
1362424,11428908,1.14E+07,2.77E+06,3530,1
591247,5195316,5.20E+06,3.45E+06,3554,2
1445358,8780820,8.78E+06,1.87E+06,3530,1
270863,2841396,2.84E+06,30468,3530,1
262885,2557788,2.56E+06,91332,3530,1
355150,3570924,3.57E+06,171012,3530,1
645424,4297068,4.30E+06,68844,4058,2
683901,4476948,4.48E+06,14796,4106,3
816829,8501700,8.50E+06,1.10E+07,3554,4
815685,8491428,8.49E+06,20748,3554,4
826299,8628348,8.63E+06,33900,3554,4
