tuples,qdags,ghd,post mj,result,number of results
396912,2753580,2.75358e+06,6660,3530,1
463481,3716796,3.7168e+06,59316,3674,2
450015,3021396,3.0214e+06,15444,3530,1
699023,5607564,5.60756e+06,9924,3530,1
534227,3613404,3.6134e+06,5628,3530,1
397343,2767068,2.76707e+06,6996,3890,2
1549218,11523564,1.15236e+07,702828,3530,1
1619730,11795028,1.1795e+07,1.16692e+06,3530,1
1706507,12763284,1.27633e+07,2.77424e+06,4322,4
1108613,7938564,7.93856e+06,2.77964e+06,3530,1
934960,6448932,6.44893e+06,671004,4298,7
933173,6482148,6.48215e+06,1.18984e+06,3842,2
1420088,11181180,1.11812e+07,18132,4130,4
1320610,10153716,1.01537e+07,5532,3530,1
1333740,10496892,1.04969e+07,7452,3818,2
1413746,11111916,1.11119e+07,29964,5426,11
1940615,15219324,1.52193e+07,77772,19562,134
1315677,10085652,1.00857e+07,5532,3530,1
1593714,11565828,1.15658e+07,1.75576e+06,3842,2
1593265,11558700,1.15587e+07,5.97592e+06,3842,2
1768616,13195932,1.31959e+07,7.7421e+06,3842,2
2218189,16696620,1.66966e+07,4.71959e+06,3842,2
2288701,16968084,1.69681e+07,7.0114e+06,3842,2
1598013,11662908,1.16629e+07,3.48752e+06,3842,2
459896,2256156,2.25616e+06,653148,3530,1
98741,1178364,1.17836e+06,54948,3530,1
131846,1554996,1.555e+06,801396,3962,2
1036929,7710276,7.71028e+06,1.04687e+06,3962,2
279395,2883372,2.88337e+06,618996,3962,2
728968,6384060,6.38406e+06,298284,3530,1
799480,6655524,6.65552e+06,761532,3962,2
141746,1768308,1.76831e+06,341796,3530,1
1114003,11679540,1.16795e+07,245916,4082,3
1015860,10649988,1.065e+07,20148,4634,6
1640872,15786948,1.57869e+07,1.06271e+06,4082,3
1711384,16058412,1.60584e+07,981444,4082,3
1026019,10780908,1.07809e+07,71196,4634,6
1247247,11796396,1.17964e+07,1.34999e+06,4082,3
1597641,8941212,8.94121e+06,99996,3530,1
2047214,12441900,1.24419e+07,39756,3530,1
2117726,12713364,1.27134e+07,91308,3530,1
1445583,7557012,7.55701e+06,85764,3530,1
1447082,7529820,7.52982e+06,33900,3530,1
1430553,7408956,7.40896e+06,18804,3530,1
1544795,12909876,1.29099e+07,349764,3674,2
1376278,12532164,1.25322e+07,744684,3674,2
1896363,16304316,1.63043e+07,897036,3674,2
1205675,10999140,1.09991e+07,537420,3674,2
1224220,11147964,1.1148e+07,661764,3674,2
1213266,10995444,1.09954e+07,327684,3674,2
720430,5903076,5.90308e+06,538668,3530,1
749304,6244572,6.24457e+06,673404,3530,1
880539,7253556,7.25356e+06,4.71688e+06,4106,4
757889,6306588,6.30659e+06,180324,3530,1
709798,5849220,5.84922e+06,212148,3530,1
1383515,15332796,1.53328e+07,1.78711e+07,3530,1
2288598,21488076,2.14881e+07,1.91159e+07,3530,1
1531064,16661172,1.66612e+07,1.61042e+07,3530,1
1358731,15063468,1.50635e+07,1.15957e+07,3530,1
1491862,16230108,1.62301e+07,3.56188e+06,3530,1
1373112,15250068,1.52501e+07,1.53758e+07,3530,1
1068128,6244236,6.24424e+06,43188,7058,9
1095481,6545964,6.54596e+06,187164,20474,41
1135432,7057908,7.05791e+06,12156,4034,2
2000564,12701244,1.27012e+07,259116,22850,46
1073275,6321804,6.3218e+06,16620,5210,5
1072149,6346572,6.34657e+06,24852,5810,6
1477301,10077420,1.00774e+07,526332,3530,1
728735,5166204,5.1662e+06,2.77964e+06,3530,1
558247,3706452,3.70645e+06,1.4722e+06,3530,1
623464,4519308,4.51931e+06,280644,3530,1
588422,4182780,4.18278e+06,583332,3530,1
545686,3609924,3.60992e+06,13956,3530,1
773131,5193084,5.19308e+06,52332,4034,2
703973,4690548,4.69055e+06,11100,4034,2
1619131,10549092,1.05491e+07,22932,4034,2
760657,5044308,5.04431e+06,150780,4034,2
1693093,11501316,1.15013e+07,1.28099e+06,4034,2
764678,5146644,5.14664e+06,200436,4034,2
761268,5042748,5.04275e+06,56772,4322,8
935559,6674412,6.67441e+06,665796,4034,2
1385132,10175100,1.01751e+07,326220,4034,2
1362424,11428908,1.14289e+07,2.77424e+06,3530,1
592550,5151780,5.15178e+06,346452,3530,1
591247,5195316,5.19532e+06,3.44603e+06,3554,2
1445358,8780820,8.78082e+06,1.86714e+06,3530,1
1372414,10492980,1.0493e+07,7.95961e+06,3530,1
270863,2841396,2.8414e+06,30468,3530,1
350869,3456420,3.45642e+06,162804,3530,1
877738,7563828,7.56383e+06,300396,3530,1
948250,7835292,7.83529e+06,304596,3530,1
262885,2557788,2.55779e+06,91332,3530,1
355150,3570924,3.57092e+06,171012,3530,1
645424,4297068,4.29707e+06,68844,4058,2
645424,4297068,4.29707e+06,171660,4586,4
645659,4309020,4.30902e+06,154524,4370,3
643771,4287348,4.28735e+06,78780,4058,2
647081,4318116,4.31812e+06,212220,4106,3
647984,4321428,4.32143e+06,215868,4586,4
683901,4476948,4.47695e+06,14796,4106,3
816829,8501700,8.5017e+06,1.09697e+07,3554,4
1748131,14944764,1.49448e+07,2.6912e+06,4778,20
815685,8491428,8.49143e+06,20748,3554,4
951395,9686796,9.6868e+06,158556,3554,4
826299,8628348,8.62835e+06,33900,3554,4
947512,9762900,9.7629e+06,964092,3554,4
