tuples,qdags,ghd,post mj,result,number of results
434074,4106262,4.10626e+06,3.475e+06,3466,6
70671,1254126,1.25413e+06,673292,2938,2
399329,4250622,4.25062e+06,1.67508e+06,3826,10
31771,476094,476094,29540,2938,3
534602,4614318,4.61432e+06,1.1734e+06,93466,806
493058,4722510,4.72251e+06,3.78201e+06,6754,37
31857,413238,413238,238196,2938,4
642973,5537526,5.53753e+06,3.97389e+06,2938,1
159990,1280718,1.28072e+06,27116,2938,1
47782,881334,881334,138596,15154,113
91225,1442382,1.44238e+06,1.2268e+06,2938,1
14427,298734,298734,122204,2938,2
320851,1647678,1.64768e+06,83348,3442,8
612018,4282302,4.2823e+06,3.73598e+06,2938,2
985108,6370854,6.37085e+06,121028,2938,1
204479,1730646,1.73065e+06,1.33296e+06,2938,1
219818,1603374,1.60337e+06,1.22822e+06,2938,1
806166,2061198,2.0612e+06,61580,2938,1
27560,444438,444438,216284,2938,1
90579,1535142,1.53514e+06,195212,5986,26
166460,2617878,2.61788e+06,192476,2938,2
195062,2625342,2.62534e+06,1.14775e+06,2938,1
194751,1679118,1.67912e+06,63124,2834,2
190873,1788126,1.78813e+06,1.22822e+06,2938,2
442092,2984550,2.98455e+06,623108,2938,1
116393,575046,575046,31004,5890,52
5819,82734,82734,25220,2938,1
83004,1082190,1.08219e+06,142340,2938,1
41054,595806,595806,435668,2938,3
1039299,8113062,8.11306e+06,6.49372e+06,14554,113
937489,6534990,6.53499e+06,6.48619e+06,2938,1
46687,850686,850686,78884,2938,2
178519,1815246,1.81525e+06,127604,2938,2
13510,197574,197574,57308,25186,202
4768,107022,107022,47588,2938,1
216251,1984950,1.98495e+06,90188,2938,2
438905,3764406,3.76441e+06,3.63019e+06,2938,2
80877,931734,931734,782324,2938,1
55348,871038,871038,746180,2938,1
862831,11497230,1.14972e+07,762836,4282,16
37523,829230,829230,437540,2938,1
881185,11473134,1.14731e+07,784124,2938,2
699395,5006862,5.00686e+06,4.96272e+06,2938,1
46535,701670,701670,250244,2938,1
202700,1274382,1.27438e+06,56132,3466,7
659786,5584782,5.58478e+06,5.16408e+06,5338,23
178733,1993206,1.99321e+06,850628,2938,4
26373,541470,541470,73844,2938,2
707643,5084190,5.08419e+06,4.96272e+06,2938,1
953217,6663390,6.66339e+06,6.48619e+06,2938,3
