tuples,qdags,ghd,post mj,result,number of results
tuples,qdags,ghd,post mj,result,number of results
126856,772088,772088,1.23433e+06,1.66513e+07,478500
54593,465920,465920,5964,3138,1
23215,430208,430208,44460,5802,12
156838,1973912,1.97391e+06,12852,3138,1
38900,806552,806552,69948,3738,3
49886,749312,749312,76092,4794,7
768091,12733328,1.27333e+07,4.63768e+06,3138,1
41143,852896,852896,50268,3738,3
444847,3382880,3.38288e+06,49548,3138,1
118310,2169968,2.16997e+06,31476,3138,1
49609,1007144,1.00714e+06,447204,4890,8
83809,1552664,1.55266e+06,28620,3138,1
82561,1077968,1.07797e+06,8508,3714,5
110449,2137880,2.13788e+06,102468,3666,3
24613,460280,460280,14388,3738,3
125552,1509272,1.50927e+06,37620,3186,4
129488,2363888,2.36389e+06,72036,4794,7
59963,1248080,1.24808e+06,332916,4866,8
1165665,12310496,1.23105e+07,42180,3138,1
85794,897872,897872,358716,89994,532
135459,1871408,1.87141e+06,2.13409e+06,3.66336e+09,109705564
14767,203120,203120,5964,3138,1
462105,3592184,3.59218e+06,1.43564e+06,3642,3
26677,393896,393896,13836,3138,1
207957,2479592,2.47959e+06,14844,62202,320
1838411,14306192,1.43062e+07,1.62385e+06,3138,1
143243,2550536,2.55054e+06,619044,3138,1
32599,494456,494456,12540,3138,1
410848,2597720,2.59772e+06,462852,4074,5
35918,759176,759176,27972,3138,1
357537,3660704,3.6607e+06,48348,3138,2
149883,1434464,1.43446e+06,10884,3138,1
70601,1437440,1.43744e+06,54492,4266,5
408618,4157888,4.15789e+06,207324,4218,6
40552,794984,794984,98892,3138,1
37210,776552,776552,72444,9114,23
839848,4593536,4.59354e+06,16860,14562,365
453950,2698256,2.69826e+06,203316,43554,448
53009,1020488,1.02049e+06,259068,3138,1
13567,290600,290600,61956,5442,10
46031,622280,622280,51036,3138,1
53347,1014848,1.01485e+06,18372,3138,1
119836,2351528,2.35153e+06,99924,3138,1
624395,3051200,3.0512e+06,40548,16746,126
138071,1616912,1.61691e+06,93156,10218,61
262289,4432328,4.43233e+06,250452,9138,23
173450,1641752,1.64175e+06,55236,185586,1272
49260,513848,513848,40116,15954,65
23796,458696,458696,59580,3714,3
