tuples,qdags,ghd,post mj,result,number of results
943746,3871310,3.87E+06,1.19E+06,3554,2
805167,2961566,2.96E+06,1.19E+06,3626,2
864091,5628422,5.63E+06,4.29E+06,3530,1
1107167,4475414,4.48E+06,755774,3554,2
1767740,10617734,1.06E+07,355502,3530,1
1587143,10118246,1.01E+07,350270,3530,1
470649,2029766,2.03E+06,350270,3530,1
424587,1677278,1.68E+06,75542,3986,3
741564,6486254,6.49E+06,3.34E+06,4010,3
876178,7454582,7.45E+06,1.13E+06,4010,3
444560,4272110,4.27E+06,1.13E+06,4010,3
609888,5161910,5.16E+06,53390,3530,1
741564,6486254,6.49E+06,53390,3530,1
741564,6486254,6.49E+06,53390,3530,1
741564,6486254,6.49E+06,53390,3530,1
1017537,6830414,6.83E+06,500054,3530,1
1135001,7466150,7.47E+06,1.14E+06,3530,1
1135001,7466150,7.47E+06,1.14E+06,3530,1
1789004,9928910,9.93E+06,3.75E+06,4538,4
2236598,14558150,1.46E+07,3.81E+06,6554,40
2259818,13916582,1.39E+07,3.75E+06,4538,4
1650951,8943998,8.94E+06,3.76E+06,4538,4
1153468,14707358,1.47E+07,1.06E+07,3530,1
1093261,13954766,1.40E+07,1.06E+07,3530,1
811624,7000454,7.00E+06,2.65E+06,3722,3
769101,9200414,9.20E+06,2.64E+06,4394,4
531532,6013910,6.01E+06,2.64E+06,3530,1
929362,9349742,9.35E+06,2.70E+06,3530,1
966066,8836718,8.84E+06,2.64E+06,3530,1
1022437,9421142,9.42E+06,2.64E+06,3530,1
874164,6834374,6.83E+06,3.75E+06,4394,12
651605,5996870,6.00E+06,2.82E+06,3794,4
874164,6834374,6.83E+06,3.75E+06,3650,2
651605,5996870,6.00E+06,2.82E+06,3530,1
970606,7423622,7.42E+06,175526,4658,8
2275930,22641062,2.26E+07,808862,3530,1
1490578,11504270,1.15E+07,3.42E+06,3530,1
1424520,11267774,1.13E+07,3.42E+06,4346,8
1519412,12244406,1.22E+07,3.43E+06,3530,1
1458829,11501174,1.15E+07,3.42E+06,3530,1
1459785,11511062,1.15E+07,3.42E+06,3530,1
1494653,12055646,1.21E+07,3.42E+06,3530,1
1844899,11305382,1.13E+07,1.19E+06,4058,4
1842600,11289902,1.13E+07,1.19E+06,4010,2
1834718,11290214,1.13E+07,1.57E+06,3626,2
533276,2648150,2.65E+06,1.58E+06,3794,3
725369,3269054,3.27E+06,1.56E+06,5114,9
1531923,9856214,9.86E+06,131342,3626,2
606091,6306278,6.31E+06,2.34E+06,3530,1
871252,6780494,6.78E+06,2.34E+06,3530,1
