tuples,qdags,ghd,post mj,result,number of results
tuples,qdags,ghd,post mj,result,number of results
943746,3871310,3.87131e+06,1.19361e+06,3554,2
1750300,10458470,1.04585e+07,1.19281e+06,3530,1
805167,2961566,2.96157e+06,1.19322e+06,3626,2
941447,3855830,3.85583e+06,1.19281e+06,3530,1
864091,5628422,5.62842e+06,4.28699e+06,3530,1
1107167,4475414,4.47541e+06,755774,3554,2
1913721,11062574,1.10626e+07,754982,3530,1
1104868,4459934,4.45993e+06,754982,3530,1
1767740,10617734,1.06177e+07,355502,3530,1
1587143,10118246,1.01182e+07,350270,3530,1
470649,2029766,2.02977e+06,350270,3530,1
457840,1930358,1.93036e+06,350270,3530,1
424587,1677278,1.67728e+06,75542,3986,3
424587,1677278,1.67728e+06,75542,3530,2
741564,6486254,6.48625e+06,3.3448e+06,4010,3
876178,7454582,7.45458e+06,1.13065e+06,4010,3
312884,2947766,2.94777e+06,1.13065e+06,4010,3
476345,4562390,4.56239e+06,1.13106e+06,4010,3
444560,4272110,4.27211e+06,1.13065e+06,4010,3
609888,5161910,5.16191e+06,53390,3530,1
773349,6776534,6.77653e+06,53798,3530,1
741564,6486254,6.48625e+06,53390,3530,1
741564,6486254,6.48625e+06,53390,3530,1
609888,5161910,5.16191e+06,53390,3530,1
773349,6776534,6.77653e+06,53798,3530,1
741564,6486254,6.48625e+06,53390,3530,1
1017537,6830414,6.83041e+06,500054,3530,1
1017537,6830414,6.83041e+06,500054,3530,1
1135001,7466150,7.46615e+06,1.13579e+06,3530,1
1135001,7466150,7.46615e+06,1.13579e+06,3530,1
1789004,9928910,9.92891e+06,3.75436e+06,4538,4
2008916,13931990,1.3932e+07,3.75436e+06,4730,8
2236598,14558150,1.45582e+07,3.81239e+06,6554,40
2259818,13916582,1.39166e+07,3.75436e+06,4538,4
1650951,8943998,8.944e+06,3.75705e+06,4538,4
1666490,9092102,9.0921e+06,3.7611e+06,4538,4
1153468,14707358,1.47074e+07,1.0582e+07,3530,1
1093261,13954766,1.39548e+07,1.05818e+07,3530,1
811624,7000454,7.00045e+06,2.64592e+06,3722,3
769101,9200414,9.20041e+06,2.64042e+06,4394,4
531532,6013910,6.01391e+06,2.64097e+06,3530,1
929362,9349742,9.34974e+06,2.6973e+06,3530,1
811624,7000454,7.00045e+06,2.64592e+06,3722,3
867995,7584878,7.58488e+06,2.63927e+06,3722,3
966066,8836718,8.83672e+06,2.63927e+06,3530,1
1022437,9421142,9.42114e+06,2.63927e+06,3530,1
874164,6834374,6.83437e+06,3.745e+06,4394,12
651605,5996870,5.99687e+06,2.81807e+06,3794,4
778507,6044462,6.04446e+06,2.88952e+06,3650,2
874164,6834374,6.83437e+06,3.745e+06,3650,2
778507,6044462,6.04446e+06,2.88952e+06,3650,2
651605,5996870,5.99687e+06,2.81807e+06,3530,1
970606,7423622,7.42362e+06,175526,4658,8
2275930,22641062,2.26411e+07,808862,3530,1
1220999,11140310,1.11403e+07,808862,3530,1
1490578,11504270,1.15043e+07,3.42021e+06,3530,1
1424520,11267774,1.12678e+07,3.4221e+06,4346,8
1519412,12244406,1.22444e+07,3.42899e+06,3530,1
1458829,11501174,1.15012e+07,3.42028e+06,3530,1
1459785,11511062,1.15111e+07,3.41973e+06,3530,1
1494653,12055646,1.20556e+07,3.42093e+06,3530,1
1844899,11305382,1.13054e+07,1.19361e+06,4058,4
1842600,11289902,1.12899e+07,1.19281e+06,4010,2
1834718,11290214,1.12902e+07,1.56534e+06,3626,2
533276,2648150,2.64815e+06,1.58339e+06,3794,3
545443,2913182,2.91318e+06,1.55973e+06,3530,1
725369,3269054,3.26905e+06,1.56013e+06,5114,9
725369,3269054,3.26905e+06,1.56013e+06,5114,9
1531923,9856214,9.85621e+06,131342,3626,2
606091,6306278,6.30628e+06,2.33555e+06,3530,1
725350,7398158,7.39816e+06,2.33596e+06,3530,1
871252,6780494,6.78049e+06,2.33555e+06,3530,1
