tuples,qdags,ghd,post mj,result,number of results
42125,400354,400354,6492,3162,3
40444,363538,363538,5916,3138,1
46562,449530,449530,8124,3138,1
1549148,10879330,1.08793e+07,1.28442e+06,3138,1
193026,2303746,2.30375e+06,29772,3138,1
321240,3437074,3.43707e+06,555372,3138,1
713647,5889394,5.88939e+06,296628,5298,22
627952,6191842,6.19184e+06,128676,3546,4
489301,3117994,3.11799e+06,219660,3138,1
1235776,9274498,9.2745e+06,7.95959e+06,3138,1
691468,5425258,5.42526e+06,771228,3138,1
139066,1488874,1.48887e+06,231732,3138,1
1365197,12763234,1.27632e+07,83532,3138,1
902010,9374602,9.3746e+06,8556,3138,1
356863,1915474,1.91547e+06,204948,3138,1
50746,457642,457642,242796,3354,3
833166,9074578,9.07458e+06,611652,3138,1
100288,1442674,1.44267e+06,163788,3138,1
1319518,11451898,1.14519e+07,67884,3138,1
1365658,13905850,1.39058e+07,1.09696e+07,3138,1
1365359,13900474,1.39005e+07,8.86792e+06,3138,1
417136,2368282,2.36828e+06,204948,3138,2
108092,833914,833914,95964,3138,1
887061,7630282,7.63028e+06,1.62044e+06,3138,1
258708,2907874,2.90787e+06,1.46226e+06,3138,1
1173862,8756770,8.75677e+06,7.95959e+06,3138,1
692877,6022378,6.02238e+06,139476,3138,1
68070,876442,876442,13668,3138,1
670532,4873498,4.8735e+06,144276,3138,1
117590,927562,927562,137388,3138,1
107916,904834,904834,89508,3138,1
108122,898474,898474,79548,3138,1
103391,975442,975442,95964,3138,1
811848,7500346,7.50035e+06,1.86632e+06,4146,5
957504,10516498,1.05165e+07,2.29225e+06,3138,1
864059,7385770,7.38577e+06,842628,10290,66
440566,4558594,4.55859e+06,1.8704e+06,10290,66
130576,1262290,1.26229e+06,19020,3138,1
1305341,10299226,1.02992e+07,7.95959e+06,3138,1
310879,3356002,3.356e+06,59436,3138,1
1421640,8211226,8.21123e+06,489180,3138,1
1082136,7513330,7.51333e+06,15828,3138,1
128864,1140370,1.14037e+06,11700,3162,3
297091,1705546,1.70555e+06,184116,3234,9
1054500,7543618,7.54362e+06,189636,3282,6
699826,5455186,5.45519e+06,65100,3138,2
637064,4825258,4.82526e+06,1.02448e+06,4962,28
649005,4982746,4.98275e+06,1.064e+06,5370,30
821755,6513562,6.51356e+06,949644,3138,1
795226,6358138,6.35814e+06,2.84788e+06,3138,1
