tuples,qdags
167595,602547
211815,1252205
15463,98342
673461,2495501
598723,2253716
222537,1066511
69976,525151
49253,230918
139331,955922
189828,1139190
17335,54689
1016069,5814058
92817,678642
58286,200859
211585,1226711
704695,2769595
201453,787580
215119,1283256
929911,3269185
16454,99092
21158,88485
113310,664345
291240,1850217
94919,706049
40841,139042
1081653,3507497
200070,737330
13666,87607
122578,783997
1069859,2300308
8354,54104
205508,1233227
588887,2316988
527068,1515783
622108,1500861
704377,2768527
38760,210750
65857,448560
247951,1489570
570521,1901002
319500,1536333
5373,48381
307607,1128879
141685,710868
830793,4530680
1600399,9224865
94924,386126
221674,871443
188712,805710
112665,367212
