tuples,qdags,ghd,post mj,result
167595,602547,602451,241238,1584
211815,1252205,1.25211e+06,1.01166e+06,3356
15463,98342,98246,55917,1545
673461,2495501,2.4954e+06,2.23663e+06,278221
598723,2253716,2.25362e+06,2.1419e+06,1409
222537,1066511,1.06642e+06,165923,1545
69976,525151,525055,96470,1764
49253,230918,230822,188632,52557
139331,955922,955826,41563,2093
189828,1139190,1.13909e+06,1.01234e+06,1523
17335,54689,54593,42458,1545
1016069,5814058,5.81396e+06,5.17378e+12,27420
92817,678642,678546,641335,3920
58286,200859,200763,121112,1781
211585,1226711,1.22662e+06,1.16615e+06,1475
704695,2769595,2.7695e+06,24054,1566
201453,787580,787484,50376,1727
215119,1283256,1.28316e+06,242700,1545
929911,3269185,3.26909e+06,1.49706e+06,21765
16454,99092,98996,11475,1546
21158,88485,88389,71927,1545
113310,664345,664249,586037,1839
291240,1850217,1.85012e+06,1.60334e+06,1545
94919,706049,705953,55546,1545
40841,139042,138946,206458,1545
1081653,3507497,3.5074e+06,1.5337e+06,41289
200070,737330,737234,188914,1429
13666,87607,87511,56467,2321
122578,783997,783901,583303,3417
1069859,2300308,2.30021e+06,306686,3202
8354,54104,54008,30201,1567
205508,1233227,1.23313e+06,1.01258e+06,120934
588887,2316988,2.31689e+06,1.52449e+06,1499
527068,1515783,1.51569e+06,1.48685e+06,2308
622108,1500861,1.50076e+06,1.41842e+06,6016
704377,2768527,2.76843e+06,30246,1697
38760,210750,210654,110634,1545
65857,448560,448464,232044,1545
247951,1489570,1.48947e+06,153306,1545
570521,1901002,1.90091e+06,13178,1886
319500,1536333,1.53624e+06,1.4561e+06,1572
5373,48381,48285,14023,1545
307607,1128879,1.12878e+06,305325,3178
141685,710868,710772,79512,14458
830793,4530680,4.53058e+06,421329,412856
1600399,9224865,9.22477e+06,2.14187e+06,1522
94924,386126,386030,333631,1591
221674,871443,871347,389086,4733
188712,805710,805614,710546,4042
112665,367212,367116,45512,1605
