tuples,qdags,ghd size,tuples per node,post mj size,post mj results,result size,number of results
26802,367496,367496,(3666-23136),7332,(20-33),3138,1
348430,3890768,3890768,(180702-167728),362964,(7-16351),3138,1
515067,3653984,3653984,(14103-500964),25788,(5-1385),3138,1
121567,1794176,1794176,(105886-15681),23556,(6-831),3210,12
100004,1077632,1077632,(95394-4610),62892,(1270-1510),14346,476
709677,4226120,4226120,(691357-18320),73716,(1613-939),3402,6
123332,1155080,1155080,(102758-20574),193908,(2-3682),3138,2
1030581,7288088,7288088,(664771-365810),208332,(7224-1),6042,18
795826,5545904,5545904,(323384-472442),6367524,(2099-214666),3138,1
1025991,8915816,8915816,(83369-942622),2191332,(31513-58436),98994,7161
238018,1913072,1913072,(126005-112013),78996,(5035-859),12594,87
64098,935720,935720,(58155-5943),38748,(328-974),3138,1
171719,1483832,1483832,(139081-32638),10644,(58-72),3138,1
984462,5261600,5261600,(11267-973195),2721444,(162-420844),29010,2323
1041969,6634592,6634592,(303886-738083),77436,(7154-3),3138,4
1062592,6228704,6228704,(521844-540748),295836,(250-9274),31554,250
663115,3555848,3555848,(637630-25485),1446492,(183002-306),5874,21
1999575,14261432,14261432,(888515-1111060),8031372,(416031-18),6954,97
948844,7605128,7605128,(44156-904688),4907100,(5169-278971),3642,4
410629,4918928,4918928,(193657-216972),92820,(199-1569),3498,3
437030,4687232,4687232,(251344-185686),773052,(34047-227),3138,2
525754,3826352,3826352,(498396-27358),67356,(2792-30),3138,1
106036,931328,931328,(24546-81490),21948,(710-68),5178,24
1106194,5970968,5970968,(230670-875524),278508,(596-6703),3162,6
611491,5169704,5169704,(281019-330472),2239668,(103242-674),12066,128
285393,3493784,3493784,(249188-36205),186732,(6671-480),3138,1
904821,8034848,8034848,(580599-324222),80988,(1254-1220),3138,2
113177,1211096,1211096,(60944-52233),115500,(2-3194),3138,1
226362,1210184,1210184,(15295-211067),8292,(33-78),3186,4
78298,939536,939536,(20235-58063),43020,(592-324),8394,29
757633,5614088,5614088,(737824-19809),16860,(150-199),23634,150
665462,5205752,5205752,(582227-83235),101940,(6721-13),3138,1
156577,2038760,2038760,(135252-21325),119100,(2778-14),3138,1
225692,2281928,2281928,(15530-210162),258084,(248-8573),45042,248
66494,458936,458936,(12025-54469),26748,(2-452),3138,2
1057272,6140096,6140096,(528438-528834),98460,(2655-1116),253650,2655
710008,6324608,6324608,(22933-687075),39396,(1-779),3138,1
420311,3711488,3711488,(13452-406859),14364,(95-198),4122,9
1620089,12279584,12279584,(910746-709343),2341332,(86979-8944),3690,3
143847,1594304,1594304,(9717-134130),17148,(1-280),3138,1
709885,3014576,3014576,(22552-687333),69828,(1624-333),3522,4
889519,9442208,9442208,(115170-774349),28236,(524-70),3618,4
313595,1287512,1287512,(105313-208282),359076,(71-17497),9906,71
70756,641000,641000,(9524-61232),11820,(4-142),3186,4
377058,3483296,3483296,(156435-220623),162132,(442-4061),7218,26
133800,1448216,1448216,(104570-29230),66804,(551-2349),3138,1
269967,2340456,2340456,(75274-194693),5300,(1-6),3034,1
56254,590912,590912,(20335-35919),9924,(139-34),7410,76
524719,4560344,4560344,(338143-186576),7620156,(320230-349),103770,704
1234103,6783080,6783080,(529322-704781),115188,(13-8660),4386,9
