tuples,qdags,ghd size,tuples per node,post mj size,post mj results,result size,number of results
434074,4106262,4106262,(402745-31329),3475004,(402745-21),3466,6
70671,1254126,1254126,(39609-31062),673292,(39609-1),2938,2
399329,4250622,4250622,(176447-222882),1675076,(176447-336),3826,10
31771,476094,476094,(1330-30441),29540,(1330-13),2938,3
534602,4614318,4614318,(49032-485570),1173404,(49032-3202),93466,806
493058,4722510,4722510,(402746-90312),3782012,(402746-71),6754,37
31857,413238,413238,(10157-21700),238196,(10157-1650),2938,4
642973,5537526,5537526,(554525-88448),3973892,(554525-1),2938,1
159990,1280718,1280718,(1024-158966),27116,(1024-100),2938,1
47782,881334,881334,(6662-41120),138596,(6662-706),15154,113
91225,1442382,1442382,(60332-30893),1226804,(60332-7),2938,1
14427,298734,298734,(5396-9031),122204,(5396-12),2938,2
320851,1647678,1647678,(3551-317300),83348,(3551-40),3442,8
612018,4282302,4282302,(576315-35703),3735980,(576315-2),2938,2
985108,6370854,6370854,(9471-975637),121028,(9471-5),2938,1
204479,1730646,1730646,(152344-52135),1332956,(152344-1),2938,1
219818,1603374,1603374,(137245-82573),1228220,(137245-7),2938,1
806166,2061198,2061198,(4114-802052),61580,(4114-2),2938,1
27560,444438,444438,(9766-17794),216284,(9766-1),2938,1
90579,1535142,1535142,(16158-74421),195212,(16158-54),5986,26
166460,2617878,2617878,(19100-147360),192476,(19100-8),2938,2
195062,2625342,2625342,(58019-137043),1147748,(58019-1),2938,1
194751,1679118,1679118,(5504-189247),63124,(5504-2),2834,2
190873,1788126,1788126,(137245-53628),1228220,(137245-2),2938,2
442092,2984550,2984550,(117729-324363),623108,(117729-6),2938,1
116393,575046,575046,(3598-112795),31004,(3598-52),5890,52
5819,82734,82734,(1109-4710),25220,(1109-3),2938,1
83004,1082190,1082190,(9311-73693),142340,(9311-23),2938,1
41054,595806,595806,(33715-7339),435668,(33715-7),2938,3
1039299,8113062,8113062,(933981-105318),6493724,(933981-159),14554,113
937489,6534990,6534990,(933981-3508),6486188,(933981-1),2938,1
46687,850686,850686,(5524-41163),78884,(5524-284),2938,2
178519,1815246,1815246,(9063-169456),127604,(9063-2),2938,2
13510,197574,197574,(1234-12276),57308,(1234-491),25186,202
4768,107022,107022,(2069-2699),47588,(2069-1),2938,1
216251,1984950,1984950,(4730-211521),90188,(4730-31),2938,2
438905,3764406,3764406,(433026-5879),3630188,(433026-1),2938,2
80877,931734,931734,(68820-12057),782324,(68820-8),2938,1
55348,871038,871038,(47014-8334),746180,(47014-1),2938,1
862831,11497230,11497230,(54254-808577),762836,(54254-92),4282,16
37523,829230,829230,(19145-18378),437540,(19145-5),2938,1
881185,11473134,11473134,(74854-806331),784124,(74854-340),2938,2
699395,5006862,5006862,(696531-2864),4962716,(696531-1),2938,1
46535,701670,701670,(12812-33723),250244,(12812-23),2938,1
202700,1274382,1274382,(8444-194256),56132,(8444-141),3466,7
659786,5584782,5584782,(626020-33766),5164076,(626020-78),5338,23
178733,1993206,1993206,(70562-108171),850628,(70562-258),2938,4
26373,541470,541470,(1749-24624),73844,(1749-628),2938,2
707643,5084190,5084190,(696531-11112),4962716,(696531-1),2938,1
953217,6663390,6663390,(933981-19236),6486188,(933981-7),2938,3
