tuples,qdags,ghd size,tuples per node,post mj size,post mj results,result size,number of results
101478,953550,953550,(68079-33399),499364,(68079-4),2938,3
3679,44646,44646,(1184-2495),23708,(1184-51),16762,510
51253,735558,735558,(1068-50185),627572,(1068-17822),74338,1085
281911,3236742,3236742,(6342-275569),840140,(6342-43692),67234,3633
9160,180534,180534,(2466-6694),44972,(2466-301),2938,1
6980,115974,115974,(3479-3501),77852,(3479-4),2938,4
15932,235398,235398,(2351-13581),49124,(2351-3),2938,1
15099,235518,235518,(2686-12413),33668,(2686-21),2938,2
91985,449958,449958,(2896-89089),38828,(2896-32),2938,1
7482,134310,134310,(4437-3045),84788,(4437-1),2938,1
421362,5080734,5080734,(1276-420086),30012812,(1276-3398203),2938,2
326868,2400390,2400390,(1525-325343),54572,(1525-1048),5002,29
32074,395382,395382,(24389-7685),275228,(24389-9),2938,1
20042,242670,242670,(3237-16805),62084,(3237-694),4834,39
18363,341310,341310,(2363-16000),62300,(2363-56),2938,4
209047,2924766,2924766,(51687-157360),1283204,(51687-5521),2938,2
15124,270126,270126,(2310-12814),50732,(2310-113),2962,8
124076,863478,863478,(3165-120911),78260,(3165-504),2938,1
15908,131166,131166,(1889-14019),23012,(1889-25),2938,1
36404,450318,450318,(6998-29406),97748,(6998-691),3466,10
90741,813654,813654,(1376-89365),34196,(1376-374),2938,1
193818,1229934,1229934,(60730-133088),515396,(60730-17030),3490,18
99981,1640718,1640718,(4951-95030),151820,(4951-922),56506,507
34845,625254,625254,(13623-21222),283100,(13623-387),11530,80
339367,4955910,4955910,(278669-60698),4125044,(278669-803),62674,486
6303,130182,130182,(1971-4332),37364,(1971-5),2938,2
1161622,8583054,8583054,(447527-714095),2978300,(447527-7),2938,1
40826,540942,540942,(1214-39612),25916,(1214-122),2938,2
9499,214494,214494,(2159-7340),54980,(2159-23),2938,1
48108,919782,919782,(17796-30312),347756,(17796-342),5098,20
178914,1706094,1706094,(1009-177905),22436,(1009-14),2938,1
26576,507486,507486,(2115-24461),82268,(2115-669),4522,16
54123,629766,629766,(5300-48823),92276,(5300-6),2938,1
24926,445326,445326,(12963-11963),278612,(12963-1105),20338,172
37411,288678,288678,(2906-34505),141092,(2906-6606),3730,29
98381,1245102,1245102,(22240-76141),325748,(22240-18),2938,1
159727,1800486,1800486,(38798-120929),565580,(38798-432),2938,1
88132,715110,715110,(1329-86803),32852,(1329-15),2938,2
79761,991182,991182,(3620-76141),71828,(3620-18),2938,1
455642,4242822,4242822,(1618-454024),24757436,(1618-2248570),144151642,10141700
11217,236790,236790,(2158-9059),82748,(2158-707),18634,131
145550,1085670,1085670,(4632-140918),243380,(4632-11919),2938,1
20945,225678,225678,(1082-19863),2186468,(1082-209242),3058,6
38436,781014,781014,(35820-2616),741812,(35820-1),2938,1
32548,677574,677574,(29701-2847),608228,(29701-3),2938,1
13357,227838,227838,(1317-12040),124820,(1317-1949),33730,264
10733,210342,210342,(8042-2691),159836,(8042-15),3394,6
83018,666462,666462,(13435-69583),123572,(13435-38),2938,2
18276,206598,206598,(10113-8163),260708,(10113-4654),1421290,28456
36828,789630,789630,(15848-20980),367508,(15848-74),4522,13
