tuples,qdags
244047,1402325
736800,3102693
1388773,4695360
100349,688756
962701,3337750
1038243,3315930
14862,83706
563629,2045387
753432,2230917
119384,983188
1151817,4658059
456275,1338940
135016,694908
117008,519001
1725246,6941869
1029699,3035430
1082713,6962935
825866,4671804
915881,3564071
762395,3390370
378388,1460352
347388,2178136
277858,1098134
192592,1260792
390568,2340057
224677,1114669
36004,384896
289278,1266563
322543,1990626
440941,2805996
1429066,5491393
577991,2117959
861039,3919579
96015,555413
timeout
1529632,5850465
36471,275149
1493222,6933736
447684,2020790
63327,366015
584076,2605297
725505,2854436
527700,3267431
273393,2059201
633453,4914889
103397,444156
165104,835237
427430,1581135
64371,551356
