tuples,qdags,ghd,post mj,result
244047,1402325,1.4022e+06,19539,1767
736800,3102693,3.10256e+06,14195,1723
1388773,4695360,4.69523e+06,78918,1980
100349,688756,688628,24628,1727
962701,3337750,3.33762e+06,16299,27885
1038243,3315930,3.3158e+06,32884,1763
14862,83706,83578,22192,1775
563629,2045387,2.04526e+06,62533,1718
753432,2230917,2.23079e+06,123275,1766
119384,983188,983060,171867,31987
1151817,4658059,4.65793e+06,13811,1720
456275,1338940,1.33881e+06,13057,1722
135016,694908,694780,37638,5177
117008,519001,518873,9263,1994
347486,2636682,2.63655e+06,201286,1568
1725246,6941869,6.94174e+06,6.29834e+06,1772
1029699,3035430,3.0353e+06,1.39022e+06,1926
1082713,6962935,6.96281e+06,999044,1852
825866,4671804,4.67168e+06,286515,2665
915881,3564071,3.56394e+06,28378,1676
762395,3390370,3.39024e+06,376574,1741
378388,1460352,1.46022e+06,384138,1718
347388,2178136,2.17801e+06,6158,1743
277858,1098134,1.09801e+06,586807,160028
192592,1260792,1.26066e+06,11320,1580
390568,2340057,2.33993e+06,3351,1719
224677,1114669,1.11454e+06,38295,1758
36004,384896,384768,3719,1878
289278,1266563,1.26644e+06,518555,1728
322543,1990626,1.9905e+06,126147,1746
440941,2805996,2.80587e+06,140775,1725
1429066,5491393,5.49126e+06,2.13076e+06,1.70849e+06
577991,2117959,2.11783e+06,3049,1675
861039,3919579,3.91945e+06,138652,2050
96015,555413,555285,16391,2032
183675,1789282,1.78915e+06,93080,6077
1529632,5850465,5.85034e+06,651292,1861
36471,275149,275021,9470,3416
1493222,6933736,6.93361e+06,1.34518e+06,1787
447684,2020790,2.02066e+06,36964,2038
63327,366015,365887,152272,1794
584076,2605297,2.60517e+06,6431,1722
725505,2854436,2.85431e+06,76714,1687
527700,3267431,3.2673e+06,1.54484e+06,1704
273393,2059201,2.05907e+06,123409,1719
633453,4914889,4.91476e+06,72882,1761
103397,444156,444028,22346,3915
165104,835237,835109,5175,1752
427430,1581135,1.58101e+06,113551,1610
64371,551356,551228,72112,1948
