tuples,qdags
101478,476575
3679,22111
51253,367571
281911,1618204
9160,90095
6980,58449
15932,117583
15099,117592
91985,224805
7482,66986
421362,2540168
326868,1199985
32074,197481
20042,121162
18363,170640
209047,1462194
15124,134906
124076,431575
15908,65431
36404,224951
90741,406622
193818,614831
99981,820190
34845,312436
339367,2477821
6303,64926
1161622,4291322
40826,270263
9499,107051
48108,459766
178914,852839
26576,253529
54123,314685
24926,222528
37411,144166
98381,622392
159727,900073
88132,357388
79761,495418
455642,2121216
11217,118268
145550,542647
20945,112640
38436,390312
32548,338611
13357,113739
10733,105032
83018,333040
18276,103088
36828,394643
