tuples,qdags,ghd,post mj,result
101478,476575,476479,249490,1590
3679,22111,22015,159146,8505
51253,367571,367475,314082,37289
281911,1618204,1.61811e+06,420030,33727
9160,90095,89999,22322,1545
6980,58449,58353,38740,1619
15932,117583,117487,24382,1545
15099,117592,117496,16666,1570
91985,224805,224709,19248,1545
7482,66986,66890,42171,1545
421362,2540168,2.54007e+06,1.50062e+07,1398
326868,1199985,1.19989e+06,27113,2570
32074,197481,197385,137606,3932
20042,121162,121066,30983,2526
18363,170640,170544,31005,1619
209047,1462194,1.4621e+06,642797,1437
15124,134906,134810,172666,2857
124076,431575,431479,38959,1521
15908,65431,65335,11332,1545
36404,224951,224855,48709,1840
90741,406622,406526,16909,1821
193818,614831,614735,272839,1854
99981,820190,820094,75717,28367
34845,312436,312340,141377,5899
339367,2477821,2.47772e+06,2.06234e+06,31448
6303,64926,64830,18515,1568
1161622,4291322,4.29123e+06,1.489e+06,1462
40826,270263,270167,12779,1727
9499,107051,106955,27341,1545
48108,459766,459670,173708,2542
178914,852839,852743,11056,1545
26576,253529,253433,40948,2402
54123,314685,314589,45974,1545
24926,222528,222432,139110,10302
37411,144166,144070,70362,1961
98381,622392,622296,162679,1545
159727,900073,899977,282625,1545
88132,357388,357292,16269,1570
79761,495418,495322,35716,1545
455642,2121216,2.12112e+06,1.23785e+07,7.20759e+07
11217,118268,118172,41189,9438
145550,542647,542551,132572,1545
20945,112640,112544,1.09306e+06,1635
38436,390312,390216,370693,1545
32548,338611,338515,303925,1545
13357,113739,113643,62232,17005
10733,105032,104936,227227,1799
83018,333040,332944,61609,1564
18276,103088,102992,130318,710760
36828,394643,394547,183553,2338
