tuples,qdags
354960,952818
43205,210120
42125,199890
40444,181471
46562,224462
1549148,5439385
193026,1151562
556544,2632223
321240,1718236
863319,3646181
244066,1456028
979695,6379675
394540,1962436
253170,1574631
713647,2944396
627952,3095624
591115,3588189
646934,3152922
489301,1558726
364687,1085975
1235776,4636905
270305,1377545
691468,2712329
328559,1030925
313390,1555057
155739,1479107950772688697
139066,744141
1365197,6381338
1199300,5428125
2127041,8612752
1802458,7173370
2006115,8720427
1250612,5207982
902010,4686932
356863,957372
50746,228449
45108,214696
50581,235254
44028,204419
50608,238446
64284,474215
833166,4536973
72047,568655
616015,2435938
100288,721025
164922,1032485
1319518,5725647
1153621,4772446
1365658,6952637
1401777,7203184
1372954,6990328
1535116,7942705
1369219,6989528
1365359,6949953
417136,1183820
111019,454921
110854,461677
104301,430867
110881,464832
102620,412448
108092,416902
816549,3679084
593275,2988529
226230,1334715
887061,3814812
766844,2967064
258708,1453653
1173862,4378136
692877,3010871
97343,635261
69057,458935
200219,1083086
763389,3146635
68070,437960
670532,2436386
117590,463417
397726,2318605
288144,1461138
732524,3021792
422734,1220138
661029,2428754
107916,452079
282951,1271447
108122,448890
103391,487411
811848,3749881
227016,1432738
588574,3059363
195594,1278036
957504,5257949
882360,3885609
864059,3692617
934571,3828381
414486,1942308
440566,2278994
314964,1352924
242558,1144806
726110,3006501
225669,1218014
130576,630819
116500,514742
233452,1078644
796622,3142193
1305341,5149312
310879,1677765
384938,1990747
490182,2942096
1048004,6627266
380620,2030790
877596,3918568
1421640,4105311
1082136,3756384
1242311,4357080
1065019,3657243
1081711,3741418
1063189,3646872
1069485,3675791
128864,569857
297091,852537
140087,645417
220014,1272550
675044,2515383
306441,904541
1054500,3771490
128864,569893
699826,2727346
331223,1116504
211595,988049
724024,2924765
520367,1377610
687849,2704404
637064,2412315
708482,2767709
664247,2600910
645042,2448891
649005,2491106
821755,3256450
936321,3790050
828847,3261870
812318,3201405
827348,3275425
1499491,5853608
315555,1574994
417148,2021423
795226,3178756
1174682,4434899
294642,1446455
242284,1205761
