tuples,qdags,ghd,post mj,result
354960,952818,952658,9985,1578
43205,210120,209960,3544,1724
42125,199890,199730,3012,1738
40444,181471,181311,2686,1722
46562,224462,224302,3823,1722
1549148,5439385,5.43922e+06,641998,2087
193026,1151562,1.1514e+06,14643,2039
556544,2632223,2.63206e+06,672188,1799
321240,1718236,1.71808e+06,277453,1702
863319,3646181,3.64602e+06,691116,1715
244066,1456028,1.45587e+06,438601,1642
979695,6379675,6.37952e+06,958606,1799
394540,1962436,1.96228e+06,50787,1897
253170,1574631,1.57447e+06,57051,2354
713647,2944396,2.94424e+06,148075,2650
627952,3095624,3.09546e+06,64101,1805
591115,3588189,3.58803e+06,66860,2068
646934,3152922,3.15276e+06,41644,2115
489301,1558726,1.55857e+06,109592,2062
364687,1085975,1.08582e+06,79705,1725
1235776,4636905,4.63674e+06,3.97954e+06,1725
270305,1377545,1.37738e+06,121591,1580
691468,2712329,2.71217e+06,385379,1666
328559,1030925,1.03076e+06,26899,1725
313390,1555057,1.5549e+06,329360,1701
139066,744141,743981,115608,12874
1365197,6381338,6.38118e+06,41547,1651
1199300,5428125,5.42796e+06,5005,1722
2127041,8612752,8.61259e+06,165579,1568
1802458,7173370,7.17321e+06,120801,1722
2006115,8720427,8.72027e+06,3.98005e+06,3861
1250612,5207982,5.20782e+06,34199,3821
902010,4686932,4.68677e+06,4063,1567
356863,957372,957212,102223,1712
50746,228449,228289,121152,1834
45108,214696,214536,21675,1572
50581,235254,235094,80484,1724
44028,204419,204259,196120,1718
50608,238446,238286,137227,3430
64284,474215,474055,9432,1667
833166,4536973,4.53681e+06,305622,1573
72047,568655,568495,43168,1884
616015,2435938,2.43578e+06,67332,1573
100288,721025,720865,81701,1871
164922,1032485,1.03232e+06,82954,1763
1319518,5725647,5.72549e+06,33696,1724
1153621,4772446,4.77229e+06,33706,1881
1365658,6952637,6.95248e+06,5.56345e+06,1722
1401777,7203184,7.20302e+06,908818,1627
1372954,6990328,6.99017e+06,727243,1673
1535116,7942705,7.94254e+06,2.16196e+06,1580
1369219,6989528,6.98937e+06,2.58598e+06,1577
1365359,6949953,6.94979e+06,4.43371e+06,1722
417136,1183820,1.18366e+06,102223,1726
111019,454921,454761,122061,1702
110854,461677,461517,80484,1823
104301,430867,430707,196120,2165
110881,464832,464672,137227,1861
102620,412448,412288,136086,1760
108092,416902,416742,48103,2677
816549,3679084,3.67892e+06,932921,1704
593275,2988529,2.98837e+06,597910,1645
226230,1334715,1.33456e+06,103179,1727
